,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-5YMIME_WEin_by41Bj-3Q,maxwell-food-centre-singapore-3,café-mosaic-singapore,hong-lim-market-and-food-centre-singapore,old-airport-road-food-centre-singapore,pantler-singapore,guac-and-go-singapore,freshly-baked-by-le-bijoux-singapore,lau-pa-sat-singapore-2,old-hen-coffee-bar-singapore-2,meng-kitchen-singapore,wild-honey-singapore-3,tolidos-espresso-nook-singapore-3,koi-cafe-singapore-2,toast-box-singapore-24,hill-street-coffee-shop-singapore,the-bao-makers-singapore,wanna-cuppa-singapore,bungy-bar-singapore,the-fabulous-baker-boy-singapore,tiong-bahru-food-market-and-hawker-centre-singapore
-G1YjYxjDpxOBzFgo36ORA,the-book-cafe-singapore,lau-pa-sat-singapore-2,tiong-bahru-bakery-singapore-3,level33-singapore-4,nanyang-old-coffee-singapore,ps-cafe-singapore-8,common-man-coffee-roasters-singapore,boufe-boutique-cafe-singapore,spize-singapore-2,tiong-bahru-bakery-singapore-4,toms-palette-singapore,privé-café-singapore,twg-tea-on-the-bay-singapore,old-hen-coffee-bar-singapore-2,da-paolo-gastronomia-bukit-timah-bukit-timah,wild-honey-singapore-3,joe-and-dough-singapore-4,laurent-bernard-chocolatier-singapore,ps-cafe-petit-singapore,da-paolo-gastronomia-marina-bay-sands-singapore
-WShM_YFbtG4OcE0vrFVyw,maxwell-food-centre-singapore-3,old-airport-road-food-centre-singapore,wimbly-lu-chocolate-cafe-company-singapore,tiong-bahru-bakery-singapore-4,group-therapy-coffee-singapore,chye-seng-huat-hardware-singapore,hoshino-coffee-singapore,drips-singapore,strangers-reunion-singapore,penny-university-singapore,manicurious-singapore,the-bravery-cafe-singapore,the-fabulous-baker-boy-singapore,food-for-thought-singapore,hong-lim-market-and-food-centre-singapore,paul-singapore-3,nylon-coffee-roasters-singapore,waterfall-cafe-singapore,fika-singapore,symmetry-singapore
-XaIf12ricWc5z5BRt9nnQ,maxwell-food-centre-singapore-3,group-therapy-coffee-singapore,tobys-estate-singapore,tiong-bahru-bakery-singapore-4,the-bravery-cafe-singapore,wild-honey-singapore-3,strangers-reunion-singapore,chye-seng-huat-hardware-singapore,food-for-thought-singapore,oriole-coffee-bar-singapore-2,lau-pa-sat-singapore-2,cafe-melba-singapore,symmetry-singapore,the-orange-thimble-singapore,penny-university-singapore,level33-singapore-4,the-fabulous-baker-boy-singapore,old-airport-road-food-centre-singapore,hoshino-coffee-singapore,two-men-bagel-house-singapore
-fUWq6sOIEe1uTUhNKS9sQ,chye-seng-huat-hardware-singapore,paul-singapore-3,nylon-coffee-roasters-singapore,lolas-cafe-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,tiong-bahru-bakery-singapore-4,the-assembly-ground-singapore,drips-singapore,fika-singapore,old-airport-road-food-centre-singapore,group-therapy-coffee-singapore,maxwell-food-centre-singapore-3,strangers-reunion-singapore,drury-lane-singapore,hoshino-coffee-singapore,spize-singapore-2,wimbly-lu-chocolate-cafe-company-singapore,twg-tea-singapore-3,kith-cafe-singapore,food-for-thought-singapore
-pgoWr-O1psJ6LCFkGV6KQ,lau-pa-sat-singapore-2,level33-singapore-4,nanyang-old-coffee-singapore,maxwell-food-centre-singapore-3,the-book-cafe-singapore,privé-café-singapore,patisserie-g-singapore,freshly-baked-by-le-bijoux-singapore,tiong-bahru-bakery-singapore-3,commune-singapore,old-hen-coffee-bar-singapore-2,tiong-bahru-food-market-and-hawker-centre-singapore,spize-singapore-2,the-bao-makers-singapore,laurent-bernard-chocolatier-singapore,fayidha-singapore,joe-and-dough-singapore-4,pantler-singapore,tom-n-toms-coffee-singapore,group-therapy-coffee-singapore
-tuPUDZidQbt_rLPw693KQ,tiong-bahru-bakery-singapore-4,chye-seng-huat-hardware-singapore,the-book-cafe-singapore,group-therapy-coffee-singapore,strangers-reunion-singapore,sarnies-singapore,common-man-coffee-roasters-singapore,twg-tea-on-the-bay-singapore,cafe-melba-singapore,level33-singapore-4,jimmy-monkey-cafe-and-bar-singapore,the-orange-thimble-singapore,nylon-coffee-roasters-singapore,ps-cafe-petit-singapore,la-ristrettos-singapore,oriole-coffee-bar-singapore-2,lau-pa-sat-singapore-2,ps-cafe-singapore-8,toms-palette-singapore,lolas-cafe-singapore
05tSDymzhXyvaxO1G24d0g,wild-honey-singapore-3,the-book-cafe-singapore,maxwell-food-centre-singapore-3,tiong-bahru-bakery-singapore-4,wanna-cuppa-singapore,food-for-thought-singapore,the-coffee-academics-singapore,twg-tea-singapore-3,ps-cafe-singapore-8,freshly-baked-by-le-bijoux-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,d-good-cafe-singapore,toms-palette-singapore,curious-palette-singapore,clinton-street-baking-company-and-restaurant-singapore,privé-café-singapore,two-men-bagel-house-singapore,chye-seng-huat-hardware-singapore,killiney-kopitiam-singapore-4,jimmy-monkey-cafe-and-bar-singapore
0DcUFh4oG2IlBGOj9KcjVQ,hong-lim-market-and-food-centre-singapore,maxwell-food-centre-singapore-3,hoshino-coffee-singapore,starbucks-singapore-42,the-bravery-cafe-singapore,freshly-baked-by-le-bijoux-singapore,chin-chin-restaurant-singapore,bake-cheese-tart-singapore,the-royals-cafe-singapore,paul-singapore-3,fika-singapore,art-palates-cafe-singapore,penny-university-singapore,sun-ray-cafe-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,waterfall-cafe-singapore,symmetry-singapore,curious-palette-singapore,cafe-mondo-singapore,tuckshop-singapore
0NjHJNdJPdmc0WHV4VF7fA,maxwell-food-centre-singapore-3,strangers-reunion-singapore,group-therapy-coffee-singapore,tiong-bahru-bakery-singapore-4,old-airport-road-food-centre-singapore,the-orange-thimble-singapore,food-for-thought-singapore,ps-cafe-petit-singapore,wild-honey-singapore-3,chye-seng-huat-hardware-singapore,the-fabulous-baker-boy-singapore,level33-singapore-4,symmetry-singapore,flock-café-singapore,oriole-coffee-bar-singapore-2,cafe-melba-singapore,wheelers-yard-singapore,pacamara-boutique-coffee-roasters-singapore,penny-university-singapore,nylon-coffee-roasters-singapore
0QeJC2inz6P-OVzROU_LNw,lau-pa-sat-singapore-2,tiong-bahru-bakery-singapore-3,level33-singapore-4,nanyang-old-coffee-singapore,the-book-cafe-singapore,spize-singapore-2,boufe-boutique-cafe-singapore,da-paolo-gastronomia-marina-bay-sands-singapore,pantler-singapore,privé-café-singapore,starbucks-singapore-86,coffee-and-toast-singapore,patisserie-g-singapore,tom-n-toms-coffee-singapore,hg-106-coffeeshop-singapore,commune-singapore,fayidha-singapore,ps-cafe-singapore-8,old-hen-coffee-bar-singapore-2,1983-a-taste-of-nanyang-singapore-2
0VYzR15p6G18-2_KCsvuEw,maxwell-food-centre-singapore-3,freshly-baked-by-le-bijoux-singapore,spize-singapore-2,tiong-bahru-food-market-and-hawker-centre-singapore,hong-lim-market-and-food-centre-singapore,the-book-cafe-singapore,the-coconut-club-singapore,killiney-kopitiam-singapore-4,privé-café-singapore,laurent-bernard-chocolatier-singapore,wanna-cuppa-singapore,j-co-donuts-and-coffee-singapore,café-mosaic-singapore,old-hen-coffee-bar-singapore-2,ps-cafe-singapore-8,coffee-and-toast-singapore,ya-kun-kaya-toast-singapore-9,toms-palette-singapore,pantler-singapore,paul-singapore-3
0V_C2aOTDKuR8CO3P3RvJw,the-assembly-ground-singapore,the-book-cafe-singapore,spize-singapore-2,da-paolo-gastronomia-bukit-timah-bukit-timah,toms-palette-singapore,crossings-cafe-singapore,twg-tea-singapore-3,violet-oons-kitchen-singapore,two-blur-guys-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,watanabe-coffee-singapore,the-coconut-club-singapore,lolas-cafe-singapore,tiong-bahru-bakery-singapore-3,the-lokal-singapore,sarnies-singapore,ps-cafe-singapore-8,ps-cafe-petit-singapore,la-ristrettos-singapore,da-paolo-gastronomia-holland-village-singapore-2
