,userid,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5,recommendation_6,recommendation_7,recommendation_8,recommendation_9,recommendation_10,recommendation_11,recommendation_12,recommendation_13,recommendation_14,recommendation_15,recommendation_16,recommendation_17,recommendation_18,recommendation_19,recommendation_20
0,BLCH29-jOurbrj1fsaQ3Hw,nylon-coffee-roasters-singapore,maxwell-food-centre-singapore-3,toms-palette-singapore,two-men-bagel-house-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,old-airport-road-food-centre-singapore,bake-cheese-tart-singapore,creamier-singapore,foong-kee-coffee-shop-singapore,flor-patisserie-singapore,le-cafe-confectionery-and-pastry-singapore,tolidos-espresso-nook-singapore-3,maison-kayser-singapore,black-and-ink-no-title,percolate-singapore,twg-tea-singapore-3,rabbit-owl-depot-singapore,amoy-street-food-centre-singapore,chinatown-complex-market-and-food-centre-singapore,revelry-singapore
1,Vt_lIJ3gqZ_Vm4p2fAqMGA,nylon-coffee-roasters-singapore,maxwell-food-centre-singapore-3,toms-palette-singapore,two-men-bagel-house-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,old-airport-road-food-centre-singapore,creamier-singapore,foong-kee-coffee-shop-singapore,bake-cheese-tart-singapore,flor-patisserie-singapore,maison-kayser-singapore,le-cafe-confectionery-and-pastry-singapore,tolidos-espresso-nook-singapore-3,percolate-singapore,black-and-ink-no-title,twg-tea-singapore-3,tong-heng-singapore-3,rabbit-owl-depot-singapore,chinatown-complex-market-and-food-centre-singapore,amoy-street-food-centre-singapore
2,Ml61UOrHtdUCwW0JcTM_Vg,nylon-coffee-roasters-singapore,maxwell-food-centre-singapore-3,toms-palette-singapore,two-men-bagel-house-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,old-airport-road-food-centre-singapore,foong-kee-coffee-shop-singapore,creamier-singapore,bake-cheese-tart-singapore,tolidos-espresso-nook-singapore-3,le-cafe-confectionery-and-pastry-singapore,flor-patisserie-singapore,maison-kayser-singapore,percolate-singapore,black-and-ink-no-title,tong-heng-singapore-3,twg-tea-singapore-3,sunday-folks-singapore,revelry-singapore,rabbit-owl-depot-singapore
3,KIcZfbtAEHNoWqre4yHcPw,nylon-coffee-roasters-singapore,maxwell-food-centre-singapore-3,toms-palette-singapore,two-men-bagel-house-singapore,old-airport-road-food-centre-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,creamier-singapore,foong-kee-coffee-shop-singapore,bake-cheese-tart-singapore,le-cafe-confectionery-and-pastry-singapore,tolidos-espresso-nook-singapore-3,flor-patisserie-singapore,maison-kayser-singapore,black-and-ink-no-title,twg-tea-singapore-3,percolate-singapore,pacamara-boutique-coffee-roasters-singapore,geisha-specialty-coffee-singapore,rabbit-owl-depot-singapore,sunday-folks-singapore
4,YJyVBqo9enL7XnzMnAkv_A,nylon-coffee-roasters-singapore,maxwell-food-centre-singapore-3,toms-palette-singapore,two-men-bagel-house-singapore,old-airport-road-food-centre-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,foong-kee-coffee-shop-singapore,creamier-singapore,tolidos-espresso-nook-singapore-3,bake-cheese-tart-singapore,le-cafe-confectionery-and-pastry-singapore,maison-kayser-singapore,flor-patisserie-singapore,black-and-ink-no-title,twg-tea-singapore-3,percolate-singapore,rabbit-owl-depot-singapore,revelry-singapore,sunday-folks-singapore,tong-heng-singapore-3
5,blxzOOhWwU_VtgVYxwL0AA,nylon-coffee-roasters-singapore,maxwell-food-centre-singapore-3,toms-palette-singapore,two-men-bagel-house-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,old-airport-road-food-centre-singapore,creamier-singapore,foong-kee-coffee-shop-singapore,flor-patisserie-singapore,le-cafe-confectionery-and-pastry-singapore,tolidos-espresso-nook-singapore-3,bake-cheese-tart-singapore,maison-kayser-singapore,black-and-ink-no-title,percolate-singapore,twg-tea-singapore-3,chinatown-complex-market-and-food-centre-singapore,amoy-street-food-centre-singapore,sunday-folks-singapore,revelry-singapore
6,vDCCEp_bOJ6kcyxZOfkedQ,nylon-coffee-roasters-singapore,maxwell-food-centre-singapore-3,toms-palette-singapore,two-men-bagel-house-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,old-airport-road-food-centre-singapore,creamier-singapore,foong-kee-coffee-shop-singapore,bake-cheese-tart-singapore,le-cafe-confectionery-and-pastry-singapore,tolidos-espresso-nook-singapore-3,flor-patisserie-singapore,maison-kayser-singapore,black-and-ink-no-title,tong-heng-singapore-3,percolate-singapore,twg-tea-singapore-3,rabbit-owl-depot-singapore,hong-lim-market-and-food-centre-singapore,amoy-street-food-centre-singapore
7,tZ437GvGPzH9Hx11p32fdQ,nylon-coffee-roasters-singapore,maxwell-food-centre-singapore-3,toms-palette-singapore,two-men-bagel-house-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,old-airport-road-food-centre-singapore,foong-kee-coffee-shop-singapore,creamier-singapore,le-cafe-confectionery-and-pastry-singapore,bake-cheese-tart-singapore,flor-patisserie-singapore,tolidos-espresso-nook-singapore-3,maison-kayser-singapore,black-and-ink-no-title,percolate-singapore,twg-tea-singapore-3,rabbit-owl-depot-singapore,mr-teh-tarik-cartel-singapore,tong-heng-singapore-3,revelry-singapore
8,5dawy6OzNphOfecDP4De8g,nylon-coffee-roasters-singapore,maxwell-food-centre-singapore-3,toms-palette-singapore,two-men-bagel-house-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,old-airport-road-food-centre-singapore,creamier-singapore,foong-kee-coffee-shop-singapore,tolidos-espresso-nook-singapore-3,flor-patisserie-singapore,bake-cheese-tart-singapore,le-cafe-confectionery-and-pastry-singapore,maison-kayser-singapore,black-and-ink-no-title,twg-tea-singapore-3,percolate-singapore,rabbit-owl-depot-singapore,revelry-singapore,mr-teh-tarik-cartel-singapore,sunday-folks-singapore
9,_6zTmwRscQUpbyo8etB0nQ,nylon-coffee-roasters-singapore,maxwell-food-centre-singapore-3,toms-palette-singapore,two-men-bagel-house-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,old-airport-road-food-centre-singapore,foong-kee-coffee-shop-singapore,creamier-singapore,tolidos-espresso-nook-singapore-3,bake-cheese-tart-singapore,le-cafe-confectionery-and-pastry-singapore,maison-kayser-singapore,black-and-ink-no-title,flor-patisserie-singapore,twg-tea-singapore-3,rabbit-owl-depot-singapore,percolate-singapore,tong-heng-singapore-3,geisha-specialty-coffee-singapore,pacamara-boutique-coffee-roasters-singapore
