,alias,price,address,latitude,longitude,region
0,nylon-coffee-roasters-singapore,$,"4 Everton Park, # 01-40, Singapore 080004, Singapore",1.276809987029,103.83997606961, Central
1,five-oars-coffee-roasters-singapore-2,$$,"39 Tanjong Pagar Rd, Singapore 088462, Singapore",1.27903,103.84392, Central
2,the-wired-monkey-singapore-singapore,$,"5 Dunlop St, Singapore 209335, Singapore",1.30432,103.85409, Central
3,glasshouse-singapore,$$,"30 Victoria St, #01-03, CHIJMES, Singapore 187996, Singapore",1.29450802017737,103.85113726683, Central
4,tiong-hoe-specialty-coffee-singapore-3,$,"170 Stirling Rd, #01-1133, Singapore 140170, Singapore",1.29092,103.80308, Central
5,mellower-coffee-singapore-188967,$$,"108 Middle Rd, 01-01, The Prospex, Singapore 188967 188967, Singapore",1.29885205596739,103.853996805847, Central
6,common-man-coffee-roasters-singapore,$$,"22 Martin Rd, #01-00, Singapore 235098, Singapore",1.29186,103.83842, Central
7,craftsmen-specialty-coffee-singapore-4,$$,"6 Eu Tong Sen St, #01-58/59, Singapore 059817, Singapore",1.28864617083288,103.846577815711, Central
8,the-coffee-academics-singapore-3,$$,"80 Bras Basah Rd, Level B1, Singapore 189560, Singapore",1.29363012201287,103.853649449995, Central
9,the-clueless-goat-singapore,$,"189 Thomson Rd, Singapore 307631, Singapore",1.31866539293884,103.843580782413, Central
10,jewel-coffee-singapore-3,$$,"442 Orchard Rd, #01-01, Singapore 238879, Singapore",1.30727573941628,103.828861865088, Central
11,chye-seng-huat-hardware-singapore,$$,"150 Tyrwhitt Rd, Singapore 207563, Singapore",1.311494049613,103.860282227397, Central
12,brawn-and-brains-coffee-singapore,$$,"100 Guillemard Rd, #01-02, Singapore 399718, Singapore",1.310077,103.881833, Southeast
13,tolidos-espresso-nook-singapore-3,$$,"462 Crawford Ln, #01-63, Singapore 190462, Singapore",1.30453486052728,103.861071132123, Central
14,coffee-smith-singapore,$$,"277 Orchard Rd, #01-09/09A, Singapore 238858, Singapore",1.30049685455862,103.839501984304, Central
15,tiong-bahru-bakery-singapore-4,$$,"56 Eng Hoon St, #01-70, Singapore 160056, Singapore",1.28428,103.83383, Central
16,patisserie-g-singapore,$$,"9 Raffles Blvd, #01-40, Singapore 039596, Singapore",1.292364,103.859633, Central
17,grind-coffee-singapore,$$,"1 Raffles Place, #01-14/15, Singapore 048616, Singapore",1.284358,103.8510616, Central
