alias,price_1,price_2,price_3,price_4,bakeries,bars,breakfast_brunch,cafes,coffee,desserts,icecream,juicebars,sandwiches, Central, Northeast, Northwest, Southeast, Southwest
nylon-coffee-roasters-singapore,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
five-oars-coffee-roasters-singapore-2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
the-wired-monkey-singapore-singapore,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
glasshouse-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tiong-hoe-specialty-coffee-singapore-3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mellower-coffee-singapore-188967,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
common-man-coffee-roasters-singapore,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
craftsmen-specialty-coffee-singapore-4,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
the-coffee-academics-singapore-3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
the-clueless-goat-singapore,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
jewel-coffee-singapore-3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
chye-seng-huat-hardware-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
brawn-and-brains-coffee-singapore,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
tolidos-espresso-nook-singapore-3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
coffee-smith-singapore,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
tiong-bahru-bakery-singapore-4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
patisserie-g-singapore,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
grind-coffee-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
awesome-coffee-singapore,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
sweetspot-singapore-2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
brunches-cafe-singapore-3,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
boyles-coffee-x-cold-brew-bar-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
hygge-singapore,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
bacha-coffee-singapore,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
candour-coffee-singapore,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
curious-palette-singapore,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
apartment-coffee-singapore,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
two-men-bagel-house-singapore,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
tiong-bahru-bakery-singapore-3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
the-coffee-shot-singapore,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
bread-and-hearth-singapore,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
free-the-robot-singapore,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
asanoya-singapore,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
arabica-singapore-3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
zeppelin-and-co-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
geisha-specialty-coffee-singapore,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
pacamara-boutique-coffee-roasters-singapore,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
da-paolo-gastronomia-orchard-paragon-singapore,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
wanna-cuppa-singapore,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
starbucks-singapore-21,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
bettr-barista-coffee-academy-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
alchemist-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tcc-the-connoisseur-concerto-singapore-13,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
the-alley-singapore,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
d-good-cafe-singapore-3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
manicurious-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
nanyang-old-coffee-singapore,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
sam-yat-coffee-singapore,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
killiney-kopitiam-singapore-4,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
jewel-coffee-at-millenia-walk-singapore,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
hvala-chijmes-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
enchanted-cafe-singapore,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
builders-cafe-singapore-2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
arabica-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
the-coffee-academics-singapore,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
atlas-coffeehouse-singapore,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
the-autobus-singapore,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
coffee-lounge-singapore,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
spinelli-coffee-company-singapore-5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
strangers-at-work-singapore,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
pantler-singapore,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
the-populus-coffee-and-food-co-singapore,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
haritts-donuts-and-coffee-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
toast-box-singapore-63,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
the-book-cafe-singapore,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
tuxedo-singapore,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
upside-down-coffee-alternatives-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
yahava-koffeeworks-singapore,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
lam-yeo-coffee-powder-fty-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
mellower-coffee-singapore,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
maison-kayser-singapore,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
joe-and-dough-singapore-5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
93-degreesc-coffee-singapore,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
dutch-colony-coffee-singapore-2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
oberstrasse-singapore,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
doi-chaang-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
grids-and-circles-singapore-2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
kafe-utu-no-title,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
carry-on-singapore,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
the-quarters-singapore,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
the-social-space-singapore,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
boomarang-singapore,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
all-in-singapore,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
oromo-coffee-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
fabcafe-singapore,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
d-good-cafe-singapore,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
hill-city-cafe-singapore-2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
grain-traders-singapore,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
lau-pa-sat-singapore-2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
o-coffee-club-singapore-4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
homeground-coffee-roasters-singapore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
chaiholics-singapore-3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
toast-box-singapore,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
my-awesome-cafe-singapore,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
selfie-coffee-singapore,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
wa-cafe-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
the-house-of-robert-timms-singapore-3,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
loong-fatt-tau-sar-piah-singapore,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
double-shot-coffee-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
stateland-cafe-singapore,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
the-new-black-singapore-2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ya-kun-kaya-toast-singapore-42,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
ten-cafe-singapore,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
tai-hwa-coffee-stall-singapore,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
lupicia-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tianns-bakery-singapore,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
nunsaram-singapore,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
compound-coffee-co-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
craftsmen-specialty-coffee-singapore-3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
the-providore-singapore-4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
café-mosaic-singapore,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
beach-road-kitchen-singapore,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
one-man-coffee-singapore-2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hanis-singapore-2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
betjeman-and-barton-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
lavender-food-hub-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
knots-cafe-and-living-singapore,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
pies-and-coffee-singapore-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
meomi-cat-cafe-singapore,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
the-coffee-stop-singapore,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
toast-box-singapore-8,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
coffee-bean-and-tea-leaf-singapore-7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
o-coffee-club-singapore-9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ya-kun-kaya-toast-singapore-10,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
the-coffee-bean-and-tea-leaf-beanstro-marina,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
jewel-coffee-at-great-world-city-singapore,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
dr-cafe-coffee-singapore-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
black-and-ink-no-title,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
5-the-moments-cafe-singapore,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
tsp-coffee-singapore-2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
group-therapy-coffee-singapore,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
joe-and-the-juice-southern-islands,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
the-coffee-bean-and-tea-leaf-singapore-21,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
common-man-stan-singapore,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
percolate-singapore,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
coffee-bandits-singapore,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
limaa-singapore,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
coffee-hut-singapore,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
