alias,categories,price,region
nylon-coffee-roasters-singapore,coffeeroasteries,price$,Central
five-oars-coffee-roasters-singapore-2,coffeeroasteries,price$$,Central
the-wired-monkey-singapore-singapore,,price$,Central
glasshouse-singapore,,price$$,Central
tiong-hoe-specialty-coffee-singapore-3,coffeeroasteries,price$,Central
mellower-coffee-singapore-188967,,price$$,Central
common-man-coffee-roasters-singapore,coffeeroasteries,price$$,Central
craftsmen-specialty-coffee-singapore-4,breakfast_brunch,price$$,Central
the-coffee-academics-singapore-3,,price$$,Central
the-clueless-goat-singapore,breakfast_brunch,price$,Central
jewel-coffee-singapore-3,breakfast_brunch,price$$,Central
chye-seng-huat-hardware-singapore,,price$$,Central
brawn-and-brains-coffee-singapore,sandwiches,price$$,Southeast
tolidos-espresso-nook-singapore-3,breakfast_brunch,price$$,Central
coffee-smith-singapore,breakfast_brunch,price$$,Central
tiong-bahru-bakery-singapore-4,cafes,price$$,Central
patisserie-g-singapore,breakfast_brunch,price$$,Central
grind-coffee-singapore,,price$$,Central
awesome-coffee-singapore,cafes,price$,Central
sweetspot-singapore-2,cafes,price$$,Central
brunches-cafe-singapore-3,bakeries,price$$,Central
boyles-coffee-x-cold-brew-bar-singapore,,price$$,Central
hygge-singapore,desserts,price$,Central
bacha-coffee-singapore,cafes,price$$,Central
candour-coffee-singapore,,price$,Central
curious-palette-singapore,bars,price$$,Central
apartment-coffee-singapore,coffeeroasteries,price$$,Central
two-men-bagel-house-singapore,breakfast_brunch,price$,Central
tiong-bahru-bakery-singapore-3,bakeries,price$,Central
the-coffee-shot-singapore,cafes,price$$,Central
bread-and-hearth-singapore,bakeries,price$$,Central
free-the-robot-singapore,cafes,price$,Central
asanoya-singapore,bakeries,price$,Central
arabica-singapore-3,,price$$,Central
zeppelin-and-co-singapore,,price$$,Central
geisha-specialty-coffee-singapore,cafes,price$,Central
pacamara-boutique-coffee-roasters-singapore,bakeries,price$$,Central
da-paolo-gastronomia-orchard-paragon-singapore,desserts,price$$,Central
wanna-cuppa-singapore,cafes,price$$,Central
starbucks-singapore-21,,price$,Central
bettr-barista-coffee-academy-singapore,,price$$,Southeast
alchemist-singapore,,price$$,Central
tcc-the-connoisseur-concerto-singapore-13,,price$$,Central
the-alley-singapore,cafes,price$$,Central
d-good-cafe-singapore-3,cafes,price$$,Central
manicurious-singapore,,price$$,Central
nanyang-old-coffee-singapore,,price$,Central
sam-yat-coffee-singapore,desserts,price$,Central
killiney-kopitiam-singapore-4,breakfast_brunch,price$,Central
jewel-coffee-at-millenia-walk-singapore,breakfast_brunch,price$,Central
hvala-chijmes-singapore,,price$$,Central
enchanted-cafe-singapore,cafes,price$$,Central
builders-cafe-singapore-2,cafes,price$$,Southeast
arabica-singapore,,price$$,Central
the-coffee-academics-singapore,,price$$$,Central
atlas-coffeehouse-singapore,breakfast_brunch,price$$,Northwest
the-autobus-singapore,themedcafes,price$,Central
coffee-lounge-singapore,breakfast_brunch,price$$$,Central
spinelli-coffee-company-singapore-5,,price$,Central
strangers-at-work-singapore,,price$,Central
pantler-singapore,desserts,price$$,Central
the-populus-coffee-and-food-co-singapore,breakfast_brunch,price$$,Central
haritts-donuts-and-coffee-singapore,,price$$,Central
toast-box-singapore-63,cafes,price$$,Central
the-book-cafe-singapore,cafes,price$$,Central
tuxedo-singapore,cafes,price$$,Central
upside-down-coffee-alternatives-singapore,,price$$,Central
yahava-koffeeworks-singapore,cafes,price$,Central
lam-yeo-coffee-powder-fty-singapore,,price$$,Central
mellower-coffee-singapore,cafes,price$,Central
maison-kayser-singapore,bakeries,price$$,Central
joe-and-dough-singapore-5,,price$$,Southeast
93-degreesc-coffee-singapore,bakeries,price$$,Central
dutch-colony-coffee-singapore-2,breakfast_brunch,price$,Central
oberstrasse-singapore,breakfast_brunch,price$,Central
doi-chaang-singapore,,price$$,Southwest
grids-and-circles-singapore-2,cafes,price$$,Central
kafe-utu-no-title,cafes,price$$,Central
carry-on-singapore,cafes,price$$,Southeast
the-quarters-singapore,cafes,price$$,Central
the-social-space-singapore,cafes,price$$,Central
boomarang-singapore,breakfast_brunch,price$$,Central
all-in-singapore,cafes,price$,Central
oromo-coffee-singapore,,price$$,Central
fabcafe-singapore,cafes,price$$,Central
d-good-cafe-singapore,cafes,price$$,Northwest
hill-city-cafe-singapore-2,,price$,Southeast
grain-traders-singapore,cafes,price$$,Central
lau-pa-sat-singapore-2,,price$,Central
o-coffee-club-singapore-4,,price$$,Central
homeground-coffee-roasters-singapore,coffeeroasteries,price$$,Southeast
chaiholics-singapore-3,,price$$,Central
toast-box-singapore,cafes,price$,Central
my-awesome-cafe-singapore,cafes,price$$,Central
