shop,userid,userinfo,rating,date,photos,username,language,text
memo-café-singapore,VtxEouEMFcZLpN5iqzYOvg,"{'link': '/user_details?userid=VtxEouEMFcZLpN5iqzYOvg', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/Jk7abQBp7BTOt7c5F88Jwg/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/Jk7abQBp7BTOt7c5F88Jwg/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/Jk7abQBp7BTOt7c5F88Jwg/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/Jk7abQBp7BTOt7c5F88Jwg/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/Jk7abQBp7BTOt7c5F88Jwg/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/Jk7abQBp7BTOt7c5F88Jwg/180s.jpg 3.00x', 'markupDisplayName': 'Mabel C.', 'displayLocation': 'Pasadena, CA', 'altText': 'Mabel C.', 'userUrl': '/user_details?userid=VtxEouEMFcZLpN5iqzYOvg', 'partnerAlias': None, 'friendCount': 124, 'photoCount': 539, 'reviewCount': 138, 'eliteYear': 2022}",4,8/25/2019,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/BJS0jSSnhqE2Q8r_aoNRfA/180s.jpg', 'link': '/biz_photos/memo-caf%C3%A9-singapore?reviewid=I9RRjj-KygzMfHVXkb2gpA&amp;select=BJS0jSSnhqE2Q8r_aoNRfA', 'altText': 'Photo of Memo Café - Singapore, Singapore. Vanilla iced latte', 'width': 180, 'height': 180, 'caption': 'Vanilla iced latte'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/97HRKfLBr8PkvtCYgMsXLQ/180s.jpg', 'link': '/biz_photos/memo-caf%C3%A9-singapore?reviewid=I9RRjj-KygzMfHVXkb2gpA&amp;select=97HRKfLBr8PkvtCYgMsXLQ', 'altText': 'Photo of Memo Café - Singapore, Singapore', 'width': 180, 'height': 180, 'caption': None}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/ZPEA4oJy8PZC0jyC2bi7QA/180s.jpg', 'link': '/biz_photos/memo-caf%C3%A9-singapore?reviewid=I9RRjj-KygzMfHVXkb2gpA&amp;select=ZPEA4oJy8PZC0jyC2bi7QA', 'altText': 'Photo of Memo Café - Singapore, Singapore. Favorite combo of avacado smoothie and ham and cheese sandwhich! Definitely reccomend these as a healthy,  super delicious lunch!!', 'width': 180, 'height': 180, 'caption': 'Favorite combo of avacado smoothie and ham and cheese sandwhich! Definitely reccomend these as a healthy,  super delicious lunch!!'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/tlSYFmrQfgfDk6qkyC5Mhw/180s.jpg', 'link': '/biz_photos/memo-caf%C3%A9-singapore?reviewid=I9RRjj-KygzMfHVXkb2gpA&amp;select=tlSYFmrQfgfDk6qkyC5Mhw', 'altText': 'Photo of Memo Café - Singapore, Singapore', 'width': 180, 'height': 180, 'caption': None}]",Mabel C.,en,"This is a great place to work and study quietly that has free wifi with little interruption! Even on the weekends!<br&gt;<br&gt;The food is a little on the pricey side, but solid and though thier coffee lacks flavor, it does give you that caffeine kick! They also have a nifty thing where you can print an image in the foam! Only in one color though. <br&gt;<br&gt;The music isn&amp;#39;t very loud and the crowd here is usually very chill and quiet. There are plenty of places to sit and some have power outlets to do work in. <br&gt;<br&gt;The space is fairly clean and the large windows bring lots of light into the cafe without it scorching your skin! I can&amp;#39;t say anything about the desserts, as I havent had any of them yet!<br&gt;<br&gt;Though the staff members are friendly, they don&amp;#39;t seem to be on top of everything. The bathrooms are not checked regularly and the tables take hours to get cleaned up- even of there are little to no patrons currently in the store. The staff members are relatively young, which I understand, but I think they may need to work on just maintaining the space at a more accurate timetable is all.<br&gt; Also, whenever I&amp;#39;d ask for recommendations, the employees would always be unsure or try to upsell me the most expensive items which feels disingenuous.<br&gt;<br&gt;They also have messed up an order of mine, and though I was fine with it, they didnt seem very apologetic in the least. That left me wondering if they really had any customer experience.<br&gt;<br&gt;The cafe is connected to a hotel and if you let them know and show your room card, they give you 10% off your order.<br&gt;<br&gt;Mostly a good place to work, since all the cafes around seem to be more of a social spot- with a small maintainence and employee issues. <br&gt;<br&gt; But overall a solid 4 stars for me!"
memo-café-singapore,0gBy-cIXe0DQKhFjifu68Q,"{'link': '/user_details?userid=0gBy-cIXe0DQKhFjifu68Q', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/fWoSBRPFvodmxbIer8ocVw/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/fWoSBRPFvodmxbIer8ocVw/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/fWoSBRPFvodmxbIer8ocVw/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/fWoSBRPFvodmxbIer8ocVw/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/fWoSBRPFvodmxbIer8ocVw/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/fWoSBRPFvodmxbIer8ocVw/180s.jpg 3.00x', 'markupDisplayName': 'Will S.', 'displayLocation': 'White Plains, NY', 'altText': 'Will S.', 'userUrl': '/user_details?userid=0gBy-cIXe0DQKhFjifu68Q', 'partnerAlias': None, 'friendCount': 6, 'photoCount': 349, 'reviewCount': 243, 'eliteYear': None}",3,6/7/2015,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/rF2wIcEHFjxwY5JKX4p38g/300s.jpg', 'link': '/biz_photos/memo-caf%C3%A9-singapore?reviewid=HpgyZD4bI_0S47eKOltELA&amp;select=rF2wIcEHFjxwY5JKX4p38g', 'altText': 'Photo of Memo Café - Singapore, Singapore. Caramel tart', 'width': 300, 'height': 300, 'caption': 'Caramel tart'}]",Will S.,en,The desserts are good here. It&amp;#39;s almost a 4. Hmm maybe should be a 4 on the desserts alone. They have a bunch of other simple food as its a deli. Connected to a hotel.
memo-café-singapore,uU2Qbj1-JVNui_yY_T-aiw,"{'link': '/user_details?userid=uU2Qbj1-JVNui_yY_T-aiw', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/dZ47vLnJXCX88WgxemMSeQ/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/dZ47vLnJXCX88WgxemMSeQ/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/dZ47vLnJXCX88WgxemMSeQ/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/dZ47vLnJXCX88WgxemMSeQ/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/dZ47vLnJXCX88WgxemMSeQ/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/dZ47vLnJXCX88WgxemMSeQ/180s.jpg 3.00x', 'markupDisplayName': 'Shahram A.', 'displayLocation': 'Houston, TX', 'altText': 'Shahram A.', 'userUrl': '/user_details?userid=uU2Qbj1-JVNui_yY_T-aiw', 'partnerAlias': None, 'friendCount': 12, 'photoCount': 7, 'reviewCount': 10, 'eliteYear': None}",4,6/18/2015,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/JK3wrMR-ikNENFDdq7bOIg/300s.jpg', 'link': '/biz_photos/memo-caf%C3%A9-singapore?reviewid=oue_gtFpRZUVHAc0AA7_uA&amp;select=JK3wrMR-ikNENFDdq7bOIg', 'altText': 'Photo of Memo Café - Singapore, Singapore. Carrot juice', 'width': 300, 'height': 300, 'caption': 'Carrot juice'}]",Shahram A.,en,Simple and easy place which I like to come for fresh juice and European little foods.
starbucks-singapore-24,5EWSLyXrh4WWpAL1ghrgng,"{'link': '/user_details?userid=5EWSLyXrh4WWpAL1ghrgng', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/ed5PUIBSUFagVNE-I8ikKw/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/ed5PUIBSUFagVNE-I8ikKw/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/ed5PUIBSUFagVNE-I8ikKw/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/ed5PUIBSUFagVNE-I8ikKw/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/ed5PUIBSUFagVNE-I8ikKw/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/ed5PUIBSUFagVNE-I8ikKw/180s.jpg 3.00x', 'markupDisplayName': 'Skii C.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Skii C.', 'userUrl': '/user_details?userid=5EWSLyXrh4WWpAL1ghrgng', 'partnerAlias': None, 'friendCount': 6, 'photoCount': 154, 'reviewCount': 170, 'eliteYear': None}",5,8/9/2012,[],Skii C.,en,"Call me a Starbucks addict if you must, but it&amp;#39;s not really the drinks that keep me coming back to Starbucks, but the location and the environment are the most important factors in choosing where to get that hot cuppa coffee, or where I should hammer that essay. <br&gt;<br&gt;The Delfi outlet that has recently been added to the Starbucks chain is my favourite thus far. Aside from the prime location in the heart of orchard road, what I like about this outlet is the laidback atmosphere of the cafe. Further, there are powerplugs freely available under the wooden tables both inside and outside. Aside from that, the long wooden table on the outside is perfect for group discussions. <br&gt;<br&gt;If you&amp;#39;re feeling bored, sit by the ledge, and you can people-watch. There are many interesting characters around this part of town, where the infamous Orchard Towers is located at. Time passes by very quickly at this Starbucks outlet. There&amp;#39;s something about this outlet (of which I can&amp;#39;t put my finger on) that just keeps me coming back for more."
starbucks-singapore-24,nzIq7_i0C79ToOp-U5e0fA,"{'link': '/user_details?userid=nzIq7_i0C79ToOp-U5e0fA', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/wEkP3i0Alw0s78C8EdY57g/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/wEkP3i0Alw0s78C8EdY57g/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/wEkP3i0Alw0s78C8EdY57g/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/wEkP3i0Alw0s78C8EdY57g/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/wEkP3i0Alw0s78C8EdY57g/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/wEkP3i0Alw0s78C8EdY57g/180s.jpg 3.00x', 'markupDisplayName': 'Michelle M.', 'displayLocation': 'Durham, NC', 'altText': 'Michelle M.', 'userUrl': '/user_details?userid=nzIq7_i0C79ToOp-U5e0fA', 'partnerAlias': None, 'friendCount': 1512, 'photoCount': 5975, 'reviewCount': 1294, 'eliteYear': None}",3,10/31/2014,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/oN1wiomBvS0JNHW5nA85Uw/300s.jpg', 'link': '/biz_photos/starbucks-singapore-24?reviewid=ycVPIVP1hSB-E46gnZOZnA&amp;select=oN1wiomBvS0JNHW5nA85Uw', 'altText': 'Photo of Starbucks - Singapore, Singapore. Exterior', 'width': 300, 'height': 300, 'caption': 'Exterior'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/T5uRNC3uIRZ88NYZS-Jqiw/300s.jpg', 'link': '/biz_photos/starbucks-singapore-24?reviewid=ycVPIVP1hSB-E46gnZOZnA&amp;select=T5uRNC3uIRZ88NYZS-Jqiw', 'altText': 'Photo of Starbucks - Singapore, Singapore. View on a weekday afternoon', 'width': 300, 'height': 300, 'caption': 'View on a weekday afternoon'}]",Michelle M.,en,"I&amp;#39;m a social coffee drinker, and I like coffee just fine. I&amp;#39;m not very particular about it; of course I wouldn&amp;#39;t say McDonald&amp;#39;s, Starbucks, and Nylon coffee are all the same, but if you were to press me about the differences it&amp;#39;d be a bit difficult for me to say what they are!*<br&gt;<br&gt;That being said, I was looking for an air conditioned cafe in Tanglin that had free wifi, but didn&amp;#39;t have any luck finding something &amp;#34;Yelpy&amp;#34;. Not wanting to waste time, I decided to just visit the man and stop by this Starbucks in Delfi Orchard.<br&gt;<br&gt;As other reviewers have said, this outlet is in a prime location on Orchard Road. Not only do they have a spacious air conditioned interior, but they also have a nice covered patio if you&amp;#39;d like to be outside. But what makes this outdoor area better than Coffee Bean and Tea Leaf across the road is that 3 sides of the patio are enclosed in glass so there are less chances of pigeons flocking on the tables.<br&gt;<br&gt;Since they jump the gun here and start holiday season in October, I enjoyed sipping a peppermint mocha while mooching off the free wifi and getting some WERK done. Wifi expires every 30 minutes, so just be prepared to reconnect each time. <br&gt;<br&gt;My only complaint is that no one seems to bus tables here. When I arrived mid-day there were so many plates and dirty tables, and for the 1.5 hours I was there, not one employee went out to clean anything until I was about to leave.<br&gt;<br&gt;--<br&gt;*Judge me. Judge me all you want."
starbucks-singapore-24,ea3HFxRRo4gZOmlDle8IPA,"{'link': '/user_details?userid=ea3HFxRRo4gZOmlDle8IPA', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/XkH8CDGsGoiaZq3eqn1qbw/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/XkH8CDGsGoiaZq3eqn1qbw/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/XkH8CDGsGoiaZq3eqn1qbw/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/XkH8CDGsGoiaZq3eqn1qbw/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/XkH8CDGsGoiaZq3eqn1qbw/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/XkH8CDGsGoiaZq3eqn1qbw/180s.jpg 3.00x', 'markupDisplayName': 'Sanita M.', 'displayLocation': 'Miami, FL', 'altText': 'Sanita M.', 'userUrl': '/user_details?userid=ea3HFxRRo4gZOmlDle8IPA', 'partnerAlias': None, 'friendCount': 142, 'photoCount': 3221, 'reviewCount': 510, 'eliteYear': 2022}",5,9/1/2014,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/cV9vqJvp8Xq3Q1SGzHx-4Q/300s.jpg', 'link': '/biz_photos/starbucks-singapore-24?reviewid=N17oRwJFj8VeFoteMmWA9w&amp;select=cV9vqJvp8Xq3Q1SGzHx-4Q', 'altText': 'Photo of Starbucks - Singapore, Singapore. Caramel Macchiato in a cup :)', 'width': 300, 'height': 300, 'caption': 'Caramel Macchiato in a cup :)'}]",Sanita M.,en,"Prices are really high in Singapore (small latte cost about US$6). But otherwise I really liked this Starbucks. Great customer service, tasty lattes and great location. I love that they give you coffee in a real cup - looks so great. However most of the times I prefer to have my latte in a paper cup just because the size is a bit bigger! I don&amp;#39;t wanna waste any drop of my latte!"
starbucks-singapore-24,qheBZdYr6mF5zhncFpZmgQ,"{'link': '/user_details?userid=qheBZdYr6mF5zhncFpZmgQ', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/3aL4K098v2u6Q1hDsjGknw/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/3aL4K098v2u6Q1hDsjGknw/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/3aL4K098v2u6Q1hDsjGknw/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/3aL4K098v2u6Q1hDsjGknw/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/3aL4K098v2u6Q1hDsjGknw/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/3aL4K098v2u6Q1hDsjGknw/180s.jpg 3.00x', 'markupDisplayName': 'Jeremy P.', 'displayLocation': 'West Hollywood, CA', 'altText': 'Jeremy P.', 'userUrl': '/user_details?userid=qheBZdYr6mF5zhncFpZmgQ', 'partnerAlias': None, 'friendCount': 337, 'photoCount': 299, 'reviewCount': 174, 'eliteYear': None}",5,7/3/2017,[],Jeremy P.,en,I am a Starbucks junky! I love visiting locations outside of the US to see how the brand holds up in various countries/cultures. This location was a great break from the rigors of the many business meetings I attended during my visit to Singapore. The staff was very nice and polite and my order was exceptionally crafted! It is always comforting to visit a place that is familiar to me like Starbucks and receive the same levels of quality and service no matter where I am in the world. Starbucks is my &amp;#34;third place&amp;#34; and I appreciate the Partners at this store for what they do to create a comforting and welcoming environment!
starbucks-singapore-24,MsNATWFEcNUtF48INY7Kig,"{'link': '/user_details?userid=MsNATWFEcNUtF48INY7Kig', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/CSZBF3ycH84njD1DxlK4TQ/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/CSZBF3ycH84njD1DxlK4TQ/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/CSZBF3ycH84njD1DxlK4TQ/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/CSZBF3ycH84njD1DxlK4TQ/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/CSZBF3ycH84njD1DxlK4TQ/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/CSZBF3ycH84njD1DxlK4TQ/180s.jpg 3.00x', 'markupDisplayName': 'Greg P.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Greg P.', 'userUrl': '/user_details?userid=MsNATWFEcNUtF48INY7Kig', 'partnerAlias': None, 'friendCount': 11, 'photoCount': 1, 'reviewCount': 12, 'eliteYear': None}",1,8/31/2013,[],Greg P.,en,"Last few weekends I came it took 20+ minutes to get a coffee. One coffee was in hand I had to find a dirty table, clean it myself, and then finally sit down to enjoy.<br&gt;<br&gt;Food and beverage are precisely what you would expect, however I just don&amp;#39;t understand the staffing manager&amp;#39;s decision to consistently put on 2 staff to handle the weekend crowd. <br&gt;<br&gt;There are too many coffee shops in the area to deal with this."
starbucks-singapore-24,FXCZyluW_sVpNynDPLCUsA,"{'link': '/user_details?userid=FXCZyluW_sVpNynDPLCUsA', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/cTVk_n9_kGbxCoQFezreTA/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/cTVk_n9_kGbxCoQFezreTA/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/cTVk_n9_kGbxCoQFezreTA/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/cTVk_n9_kGbxCoQFezreTA/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/cTVk_n9_kGbxCoQFezreTA/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/cTVk_n9_kGbxCoQFezreTA/180s.jpg 3.00x', 'markupDisplayName': 'Quint B.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Quint B.', 'userUrl': '/user_details?userid=FXCZyluW_sVpNynDPLCUsA', 'partnerAlias': None, 'friendCount': 1, 'photoCount': None, 'reviewCount': 13, 'eliteYear': None}",4,6/26/2013,[],Quint B.,en,"I like Starbucks, because they have a set of products and business model that work. This isn&amp;#39;t a review as much as an amusing observation. My daughter loved getting the store made chocolate milk back in the States. We attempted to order that at a Starbucks here, and things went sideways. We got hot chocolate. I tried to explain that we just wanted cold milk mixed with chocolate sauce, and twice we were told &amp;#39;yes, that is our signature hot chocolate.&amp;#39; A couple of minutes went by, during which time the poor staff appeared completely befuddled by my request, and finally asked if I would just like the SHC over ice...I succumbed and said yes. At least we had a good laugh about it, and picked up some chocolate syrup at the store that night."
starbucks-singapore-24,dbIMH8RdgpA0fMCEozCElw,"{'link': '/user_details?userid=dbIMH8RdgpA0fMCEozCElw', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/B2zJvDdicNsWXz8qcFpUZg/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/B2zJvDdicNsWXz8qcFpUZg/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/B2zJvDdicNsWXz8qcFpUZg/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/B2zJvDdicNsWXz8qcFpUZg/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/B2zJvDdicNsWXz8qcFpUZg/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/B2zJvDdicNsWXz8qcFpUZg/180s.jpg 3.00x', 'markupDisplayName': 'Henry J.', 'displayLocation': 'Livermore, CA', 'altText': 'Henry J.', 'userUrl': '/user_details?userid=dbIMH8RdgpA0fMCEozCElw', 'partnerAlias': None, 'friendCount': 2, 'photoCount': None, 'reviewCount': 14, 'eliteYear': None}",5,10/5/2013,[],Henry J.,en,Excellent service. They made my special order drink with a smile and promptly. And it was delicious.  Very impressed. Will definitely be back.
