index,shop,userid,userinfo,rating,date,photos,username,language,text
0,hustle-co-singapore,DY6s438vFKfblXEWxG0S1g,"{'link': '/user_details?userid=DY6s438vFKfblXEWxG0S1g', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/yHUP9iywpDBugUB8EaSOtQ/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/yHUP9iywpDBugUB8EaSOtQ/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/yHUP9iywpDBugUB8EaSOtQ/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/yHUP9iywpDBugUB8EaSOtQ/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/yHUP9iywpDBugUB8EaSOtQ/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/yHUP9iywpDBugUB8EaSOtQ/180s.jpg 3.00x', 'markupDisplayName': 'David S.', 'displayLocation': 'Melbourne, Australia', 'altText': 'David S.', 'userUrl': '/user_details?userid=DY6s438vFKfblXEWxG0S1g', 'partnerAlias': None, 'friendCount': 246, 'photoCount': 21295, 'reviewCount': 4377, 'eliteYear': 2022}",5,8/27/2018,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/-wsORWJodpu0Y-vlC5jQ8g/180s.jpg', 'link': '/biz_photos/hustle-co-singapore?reviewid=W-rjap9PHZtjT_ArVU670w&amp;select=-wsORWJodpu0Y-vlC5jQ8g', 'altText': 'Photo of Hustle Co - Singapore, Singapore', 'width': 180, 'height': 180, 'caption': ''}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/jFY1OHRP0VoXK4jezxPrsQ/180s.jpg', 'link': '/biz_photos/hustle-co-singapore?reviewid=W-rjap9PHZtjT_ArVU670w&amp;select=jFY1OHRP0VoXK4jezxPrsQ', 'altText': 'Photo of Hustle Co - Singapore, Singapore', 'width': 180, 'height': 180, 'caption': ''}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/VNCHH6ObPcD4jxPMHvYYnw/180s.jpg', 'link': '/biz_photos/hustle-co-singapore?reviewid=W-rjap9PHZtjT_ArVU670w&amp;select=VNCHH6ObPcD4jxPMHvYYnw', 'altText': 'Photo of Hustle Co - Singapore, Singapore', 'width': 180, 'height': 180, 'caption': ''}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/u9xl2_Fow276WkFMTtx4Kw/180s.jpg', 'link': '/biz_photos/hustle-co-singapore?reviewid=W-rjap9PHZtjT_ArVU670w&amp;select=u9xl2_Fow276WkFMTtx4Kw', 'altText': 'Photo of Hustle Co - Singapore, Singapore', 'width': 180, 'height': 180, 'caption': ''}]",David S.,en,"I would say that I accidentally discovered this place, but having walked past it a few times in a number of days, I decided that it might be an idea to step in and check it out. Anyway, I hadn&amp;#39;t had much in the way of breakfast yet and I was starting to feel hungry. Well, if you happen to be in that position, then this place is certainly a place worth checking out. The staff were excellent, and the food wasn&amp;#39;t all that pricey either. They made a decent pot of tea, and there was a reasonable range on the menu as well, It is certainly a decent place to check out."
1,hustle-co-singapore,YziRZOh5MrqN5b84dQ9AIQ,"{'link': '/user_details?userid=YziRZOh5MrqN5b84dQ9AIQ', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/z9T19wxmS8cpyCrXdiPs7w/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/z9T19wxmS8cpyCrXdiPs7w/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/z9T19wxmS8cpyCrXdiPs7w/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/z9T19wxmS8cpyCrXdiPs7w/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/z9T19wxmS8cpyCrXdiPs7w/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/z9T19wxmS8cpyCrXdiPs7w/180s.jpg 3.00x', 'markupDisplayName': 'Dan P.', 'displayLocation': 'Katong, Singapore, Singapore', 'altText': 'Dan P.', 'userUrl': '/user_details?userid=YziRZOh5MrqN5b84dQ9AIQ', 'partnerAlias': None, 'friendCount': 4194, 'photoCount': 1585, 'reviewCount': 376, 'eliteYear': None}",4,1/17/2018,[],Dan P.,en,Get away from the hustle &amp;#39;n&amp;#39; bustle!<br&gt;<br&gt;This funky little craft brew joint caters to all types and offers chillaxing vibes after a hard day at the salt mines.<br&gt;<br&gt;Stone &amp;amp; Wood&amp;#39;s Pacific Ale offers a crisp clean and easy drinker starter to get the night going; A red apple cider from Zeffer and Sunday&amp;#39;s sweet malt pilsner liven up the party before the hammer comes down with Stone&amp;#39;s IPA (6.4%).<br&gt;<br&gt;Another one would seemingly be a good idea before you realise you have a marketing pitch the next day.<br&gt;<br&gt;Time to put these plans (and yourself) to bed!
2,hustle-co-singapore,21uYcVHQ8uf9GIKrahY2VA,"{'link': '/user_details?userid=21uYcVHQ8uf9GIKrahY2VA', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/QyZ2uNIof_COnLq2s9rdNg/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/QyZ2uNIof_COnLq2s9rdNg/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/QyZ2uNIof_COnLq2s9rdNg/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/QyZ2uNIof_COnLq2s9rdNg/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/QyZ2uNIof_COnLq2s9rdNg/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/QyZ2uNIof_COnLq2s9rdNg/180s.jpg 3.00x', 'markupDisplayName': 'Nur Aisyah O.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Nur Aisyah O.', 'userUrl': '/user_details?userid=21uYcVHQ8uf9GIKrahY2VA', 'partnerAlias': None, 'friendCount': 37, 'photoCount': 27, 'reviewCount': 16, 'eliteYear': None}",5,9/24/2017,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/W1Zk_oULV8ZMhISlxcZ74w/180s.jpg', 'link': '/biz_photos/hustle-co-singapore?reviewid=_F7C5Y3clAayxes0TcD2kQ&amp;select=W1Zk_oULV8ZMhISlxcZ74w', 'altText': 'Photo of Hustle Co - Singapore, Singapore. Breakfast Platter. Generous portions!', 'width': 180, 'height': 180, 'caption': 'Breakfast Platter. Generous portions!'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/ncxmux8ik5ulfqmLuUpIqw/180s.jpg', 'link': '/biz_photos/hustle-co-singapore?reviewid=_F7C5Y3clAayxes0TcD2kQ&amp;select=ncxmux8ik5ulfqmLuUpIqw', 'altText': 'Photo of Hustle Co - Singapore, Singapore. Avocado Toast', 'width': 180, 'height': 180, 'caption': 'Avocado Toast'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/U8UTvQRAixA5FoROe4IK9g/180s.jpg', 'link': '/biz_photos/hustle-co-singapore?reviewid=_F7C5Y3clAayxes0TcD2kQ&amp;select=U8UTvQRAixA5FoROe4IK9g', 'altText': 'Photo of Hustle Co - Singapore, Singapore. Baby Chicken. Amazing', 'width': 180, 'height': 180, 'caption': 'Baby Chicken. Amazing'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/W6x-RfdoD-ZRVwk4ahzBWg/180s.jpg', 'link': '/biz_photos/hustle-co-singapore?reviewid=_F7C5Y3clAayxes0TcD2kQ&amp;select=W6x-RfdoD-ZRVwk4ahzBWg', 'altText': 'Photo of Hustle Co - Singapore, Singapore. Latte', 'width': 180, 'height': 180, 'caption': 'Latte'}]",Nur Aisyah O.,en,"Got their Dirty Burger (medium) &amp;amp; Red Apple Cider. Patty is a pretty good cut, very tender. Fries are nice, suitable for the health consciousness Very little oil yet it is very delicious. Will be back to try out their Salmon Rosti"
3,hustle-co-singapore,oUZ3fmICiFLVrUBl0lDx4g,"{'link': '/user_details?userid=oUZ3fmICiFLVrUBl0lDx4g', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/9WBxtOdB6R23HBHU5lQcXg/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/9WBxtOdB6R23HBHU5lQcXg/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/9WBxtOdB6R23HBHU5lQcXg/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/9WBxtOdB6R23HBHU5lQcXg/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/9WBxtOdB6R23HBHU5lQcXg/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/9WBxtOdB6R23HBHU5lQcXg/180s.jpg 3.00x', 'markupDisplayName': 'Liffy K.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Liffy K.', 'userUrl': '/user_details?userid=oUZ3fmICiFLVrUBl0lDx4g', 'partnerAlias': None, 'friendCount': 23, 'photoCount': 65, 'reviewCount': 93, 'eliteYear': None}",5,9/2/2017,[],Liffy K.,en,Salmon Rosti and French toast were delish! I will be back to try the dirty burger and the beers on tap!
4,hustle-co-singapore,8tXMamEFE3LH9TLqNrHRQQ,"{'link': '/user_details?userid=8tXMamEFE3LH9TLqNrHRQQ', 'src': 'https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png', 'srcSet': None, 'markupDisplayName': 'Daniel K.', 'displayLocation': 'Chinatown, Singapore, Singapore', 'altText': 'Daniel K.', 'userUrl': '/user_details?userid=8tXMamEFE3LH9TLqNrHRQQ', 'partnerAlias': None, 'friendCount': 0, 'photoCount': None, 'reviewCount': 1, 'eliteYear': None}",5,9/3/2018,[],Daniel K.,en,I happen to be in Tanjong Pagar area and came across this restaurant called Hustle CO. Simple and yet warm atmosphere for an easy afternoon lunch. Must try the Salmon Rosti and Soft shell crab pasta. They taste awesome!
0,fish-soup-at-alexandra-village-singapore,hC1HjO-Tye6dar3Bg0aZMw,"{'link': '/user_details?userid=hC1HjO-Tye6dar3Bg0aZMw', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/pvQ1NZZ0ALsrMNkY0go8sw/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/pvQ1NZZ0ALsrMNkY0go8sw/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/pvQ1NZZ0ALsrMNkY0go8sw/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/pvQ1NZZ0ALsrMNkY0go8sw/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/pvQ1NZZ0ALsrMNkY0go8sw/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/pvQ1NZZ0ALsrMNkY0go8sw/180s.jpg 3.00x', 'markupDisplayName': 'Huiyin S.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Huiyin S.', 'userUrl': '/user_details?userid=hC1HjO-Tye6dar3Bg0aZMw', 'partnerAlias': None, 'friendCount': 5, 'photoCount': 259, 'reviewCount': 230, 'eliteYear': None}",5,8/27/2012,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/GtGDLFOQ9xGprgOF_q0M3w/300s.jpg', 'link': '/biz_photos/fish-soup-at-alexandra-village-singapore?reviewid=nF2kRTG181Z0ieaMXCYCQQ&amp;select=GtGDLFOQ9xGprgOF_q0M3w', 'altText': 'Photo of Fish Soup at Alexandra Village - Singapore, Singapore', 'width': 300, 'height': 300, 'caption': ''}]",Huiyin S.,en,"This fish soup store that is situated in the same coffee shop as the famous Keng Eng Kee Seafood Restaurant has no store name. Instead its signboard just display the different items that they sell and the prices. Regardless of the lack of a store name, it has become famous - drawing long queues during lunch hour on weekdays. In fact, all the tables of the coffee shop are occupied by patrons of the fish soup store, leaving little room for the other stores in the coffee shop.<br&gt;<br&gt;The soup is amazingly sweet and delicious but not too salty. This is one of the few fish soup stores where I dare to order sliced fish instead of fried fish because their fish is really fresh and has no fishy smell at all! The thick beehoon is cooked just right too - not clumpy or soggy. <br&gt;<br&gt;They also sell pig&amp;#39;s organ soup, pork porridge and yam rice to go with your soup. My suggestion is to skip the yam rice which is not very special. Try the fish soup and if you have space left, get the pig&amp;#39;s organ soup too."
0,the-rustic-bistro-singapore,H8mXfh5XgGCqmMLwVH7k5A,"{'link': '/user_details?userid=H8mXfh5XgGCqmMLwVH7k5A', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/_9Tjfd7rCOKCYLEUzAJLHw/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/_9Tjfd7rCOKCYLEUzAJLHw/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/_9Tjfd7rCOKCYLEUzAJLHw/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/_9Tjfd7rCOKCYLEUzAJLHw/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/_9Tjfd7rCOKCYLEUzAJLHw/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/_9Tjfd7rCOKCYLEUzAJLHw/180s.jpg 3.00x', 'markupDisplayName': 'Melissa Y.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Melissa Y.', 'userUrl': '/user_details?userid=H8mXfh5XgGCqmMLwVH7k5A', 'partnerAlias': None, 'friendCount': 558, 'photoCount': 6125, 'reviewCount': 521, 'eliteYear': 2022}",4,7/31/2014,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/dM8lWR3usquButF6XprtWQ/180s.jpg', 'link': '/biz_photos/the-rustic-bistro-singapore?reviewid=tF45e47Vi2QaHWm4oKJSug&amp;select=dM8lWR3usquButF6XprtWQ', 'altText': 'Photo of The Rustic Bistro - Singapore, Singapore. The rustic burger :)', 'width': 180, 'height': 180, 'caption': 'The rustic burger :)'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/JYk8VvxHNWfs33jBcVgWFg/180s.jpg', 'link': '/biz_photos/the-rustic-bistro-singapore?reviewid=tF45e47Vi2QaHWm4oKJSug&amp;select=JYk8VvxHNWfs33jBcVgWFg', 'altText': 'Photo of The Rustic Bistro - Singapore, Singapore. Egg Florentine :D', 'width': 180, 'height': 180, 'caption': 'Egg Florentine :D'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/VIDmuW2lkIhrw2xgQlO2Ow/180s.jpg', 'link': '/biz_photos/the-rustic-bistro-singapore?reviewid=tF45e47Vi2QaHWm4oKJSug&amp;select=VIDmuW2lkIhrw2xgQlO2Ow', 'altText': 'Photo of The Rustic Bistro - Singapore, Singapore. The inside :)', 'width': 180, 'height': 180, 'caption': 'The inside :)'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/Vgsb2vf5OVpJ5UiQNYL4eA/180s.jpg', 'link': '/biz_photos/the-rustic-bistro-singapore?reviewid=tF45e47Vi2QaHWm4oKJSug&amp;select=Vgsb2vf5OVpJ5UiQNYL4eA', 'altText': 'Photo of The Rustic Bistro - Singapore, Singapore. The shop front! :)', 'width': 180, 'height': 180, 'caption': 'The shop front! :)'}]",Melissa Y.,en,"It&amp;#39;s a nett priced restaurant! Which is a plus for a budget Melissa! And the egg florentine were delicious! The spinach with the smoked salmon and the baguette! :) great breakfast/lunch/dinner :) it says that it&amp;#39;s meant for the weekends but I managed to order it on a weekday! It&amp;#39;s a very quiet cafe facing china street with chill background music, rustic wooden tables and chalk boards with their menu written all over with colourful chalks :) it&amp;#39;s a very charming place :) we also had the rustic burger which was very fresh. The tomatoes were sweet and you can tell that the meat isn&amp;#39;t frozen :)"
0,yu-kee-duck-rice-singapore-2,_4nGEt_tsWh6x_K4HB1jdQ,"{'link': '/user_details?userid=_4nGEt_tsWh6x_K4HB1jdQ', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/Pz-aEE7hZPir7eqeZ0TwJw/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/Pz-aEE7hZPir7eqeZ0TwJw/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/Pz-aEE7hZPir7eqeZ0TwJw/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/Pz-aEE7hZPir7eqeZ0TwJw/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/Pz-aEE7hZPir7eqeZ0TwJw/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/Pz-aEE7hZPir7eqeZ0TwJw/180s.jpg 3.00x', 'markupDisplayName': 'Olivia W.', 'displayLocation': 'Brooklyn, NY', 'altText': 'Olivia W.', 'userUrl': '/user_details?userid=_4nGEt_tsWh6x_K4HB1jdQ', 'partnerAlias': None, 'friendCount': 271, 'photoCount': 228, 'reviewCount': 81, 'eliteYear': 2022}",3,12/29/2018,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/54DPMhZpuSWW7QzUW4epuA/300s.jpg', 'link': '/biz_photos/yu-kee-duck-rice-singapore-2?reviewid=MmT5k4vhVwjEBwhBU7x56Q&amp;select=54DPMhZpuSWW7QzUW4epuA', 'altText': 'Photo of Yu Kee Duck Rice - Singapore, Singapore. #1', 'width': 300, 'height': 300, 'caption': '#1'}]",Olivia W.,en,"I came here on my first night at Singapore. Man, it was such a sad first meal here. I had #1, which I think is the duck with rice and an egg and some marinated tofu. The duck rice I had back at home in NY was so much better. #1 was overly sweet and the rice just tasted sweet in general with no flavor. I like to think an egg can make it or break a dish. Surely, this tea egg broke the dish. Where is the tea flavor? Or like any soy sauce flavor ? <br&gt;<br&gt;Such a huge disappointment. But if you&amp;#39;re hungry and not picky, this 5 SGD dish may do for you. You won&amp;#39;t feel full though."
1,yu-kee-duck-rice-singapore-2,SBVNVima7JWeA-6TXVvJbw,"{'link': '/user_details?userid=SBVNVima7JWeA-6TXVvJbw', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/wpM5IU5eSnTJWvMZaKlAFA/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/wpM5IU5eSnTJWvMZaKlAFA/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/wpM5IU5eSnTJWvMZaKlAFA/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/wpM5IU5eSnTJWvMZaKlAFA/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/wpM5IU5eSnTJWvMZaKlAFA/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/wpM5IU5eSnTJWvMZaKlAFA/180s.jpg 3.00x', 'markupDisplayName': 'Natalie H.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Natalie H.', 'userUrl': '/user_details?userid=SBVNVima7JWeA-6TXVvJbw', 'partnerAlias': None, 'friendCount': 124, 'photoCount': 2861, 'reviewCount': 387, 'eliteYear': None}",3,6/6/2016,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/tXNwufxDftMtD28XRrlcYQ/300s.jpg', 'link': '/biz_photos/yu-kee-duck-rice-singapore-2?reviewid=qS5pi1X1OrlbNLTaa0u51g&amp;select=tXNwufxDftMtD28XRrlcYQ', 'altText': 'Photo of Yu Kee Duck Rice - Singapore, Singapore. Duck rice $4.50', 'width': 300, 'height': 300, 'caption': 'Duck rice $4.50'}]",Natalie H.,en,"Rice cooked in a dark sauce, a moreish sauce poured over, half of a stewed hard boiled egg, duck chopped so thin I could barely taste it, some stewed peanuts, salted veggies and soy puffs. <br&gt;<br&gt;I don&amp;#39;t get the hype, and neither is the taste really great. I thought the rice would be yam rice, but really it is just dark soy sauce rice. It isn&amp;#39;t a bad-tasting plate, but it isn&amp;#39;t fantastic either. For a duck rice, really ought to have more duck."
2,yu-kee-duck-rice-singapore-2,2T0fllpf1mYNg56YWkCtgg,"{'link': '/user_details?userid=2T0fllpf1mYNg56YWkCtgg', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/F-RtqoJeKHWEodedmTijDQ/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/F-RtqoJeKHWEodedmTijDQ/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/F-RtqoJeKHWEodedmTijDQ/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/F-RtqoJeKHWEodedmTijDQ/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/F-RtqoJeKHWEodedmTijDQ/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/F-RtqoJeKHWEodedmTijDQ/180s.jpg 3.00x', 'markupDisplayName': 'Ben K.', 'displayLocation': 'New Taipei, Taiwan', 'altText': 'Ben K.', 'userUrl': '/user_details?userid=2T0fllpf1mYNg56YWkCtgg', 'partnerAlias': None, 'friendCount': 351, 'photoCount': 2542, 'reviewCount': 385, 'eliteYear': 2022}",2,7/22/2017,[],Ben K.,en,"Soso place to dine here... nothing good about their food here.... if fill up your hunger, is ok. Don&amp;#39;t come here in purpose for good food. Not worth it."
