shop,userid,userinfo,rating,date,photos,username,language,text
killiney-kopitiam-singapore-11,EIwNqeBDMQ4Q6k0DQ30SyA,"{'link': '/user_details?userid=EIwNqeBDMQ4Q6k0DQ30SyA', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/IaH66Gxs1YtlCN9da-FcWQ/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/IaH66Gxs1YtlCN9da-FcWQ/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/IaH66Gxs1YtlCN9da-FcWQ/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/IaH66Gxs1YtlCN9da-FcWQ/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/IaH66Gxs1YtlCN9da-FcWQ/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/IaH66Gxs1YtlCN9da-FcWQ/180s.jpg 3.00x', 'markupDisplayName': 'Hanh T.', 'displayLocation': 'Houston, TX', 'altText': 'Hanh T.', 'userUrl': '/user_details?userid=EIwNqeBDMQ4Q6k0DQ30SyA', 'partnerAlias': None, 'friendCount': 173, 'photoCount': 550, 'reviewCount': 188, 'eliteYear': None}",5,4/6/2018,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/27vh2GCqvrzxox1LNRt16w/300s.jpg', 'link': '/biz_photos/killiney-kopitiam-singapore-11?reviewid=HdOAV0GAVK06P4d4cDhLvQ&amp;select=27vh2GCqvrzxox1LNRt16w', 'altText': 'Photo of Killiney Kopitiam - Singapore, Singapore. Kaya toast (Hainanese coconut jam) with honey and a pat of butter, served w/ tea or coffee. Pictured: lemon iced tea', 'width': 300, 'height': 300, 'caption': 'Kaya toast (Hainanese coconut jam) with honey and a pat of butter, served w/ tea or coffee. Pictured: lemon iced tea'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/O1Zrm_4LW_3Jc6mlRiwG3w/300s.jpg', 'link': '/biz_photos/killiney-kopitiam-singapore-11?reviewid=HdOAV0GAVK06P4d4cDhLvQ&amp;select=O1Zrm_4LW_3Jc6mlRiwG3w', 'altText': 'Photo of Killiney Kopitiam - Singapore, Singapore', 'width': 300, 'height': 300, 'caption': None}]",Hanh T.,en,"We came here to try a traditional Singaporean breakfast with kaya toast. The meal is served with eggs, and a choice of iced tea or coffee. The iced tea tasted like lemon iced tea, and I realized later was a little strange to be drinking during breakfast, but oh well. Then, when I tried the coffee -- it was very much to my liking. <br&gt;<br&gt;Next thing you know is that I ordered an iced coffee to-go after we finished our breakfast. In the future, I&amp;#39;m going to have to take some of that Singaporean coffee with me back to the states for us and our friends.<br&gt;<br&gt;Back to the kaya toast -- it&amp;#39;s regular white bread toast that is loaded with guilt, but it tastes so good. Who can resist? So again, it is white bread with a pat of butter, honey, and Hainanese coconut jam spread. It&amp;#39;s a &amp;#34;can&amp;#39;t miss&amp;#34; when you&amp;#39;re in Singapore! I&amp;#39;ll need to take some of those jam spreads home the next time I visit Singapore too."
killiney-kopitiam-singapore-11,_I4S9ZWAoJ2PDippwT605g,"{'link': '/user_details?userid=_I4S9ZWAoJ2PDippwT605g', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/NVefHCOGxW_AdTnZAzkizQ/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/NVefHCOGxW_AdTnZAzkizQ/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/NVefHCOGxW_AdTnZAzkizQ/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/NVefHCOGxW_AdTnZAzkizQ/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/NVefHCOGxW_AdTnZAzkizQ/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/NVefHCOGxW_AdTnZAzkizQ/180s.jpg 3.00x', 'markupDisplayName': 'Ityng H.', 'displayLocation': 'New York, NY', 'altText': 'Ityng H.', 'userUrl': '/user_details?userid=_I4S9ZWAoJ2PDippwT605g', 'partnerAlias': None, 'friendCount': 113, 'photoCount': None, 'reviewCount': 217, 'eliteYear': None}",4,10/14/2017,[],Ityng H.,en,"Delayed post. I visited this location back in March 2017.<br&gt;<br&gt;I love how this was a simple, fast, breakfast place that serves a hearty food. My mom and I ordered and our meal showed up maybe 5 minutes later. I got pre-set menus that came with Kaya toast and a soft boiled egg. Fishball noodle soup. Yum!<br&gt;<br&gt;This place is where locals grab a quick bite to eat before they move on with their day. It&amp;#39;s seat yourself but could also end up sharing tables. It&amp;#39;s semi outdoor seating so if you&amp;#39;re into A/C, this might not be the location for you. I think tissues are 30 cents so remember to bring your own. After you&amp;#39;re done, you can walk off your breakfast through the strip of nicely air conditioned malls!"
killiney-kopitiam-singapore-11,VxwCgpZGEPNQ7z9ZxFYntw,"{'link': '/user_details?userid=VxwCgpZGEPNQ7z9ZxFYntw', 'src': 'https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png', 'srcSet': None, 'markupDisplayName': 'Nailesh J.', 'displayLocation': 'Arlington Heights, IL', 'altText': 'Nailesh J.', 'userUrl': '/user_details?userid=VxwCgpZGEPNQ7z9ZxFYntw', 'partnerAlias': None, 'friendCount': 0, 'photoCount': None, 'reviewCount': 1, 'eliteYear': None}",4,12/2/2016,[],Nailesh J.,en,"Excellent food and great value for money. They stick to a basic menu and is a favourite haunt of Singaporeans. My favs-the chicken curry and Kopi C. The service is quick but be ready to expect a typical open air Kopitiam experience.I love the chicken curry with French toast/rice; for people from the state of Kerala in India, the taste will remind you of Mom&amp;#39;s chicken curry. Kopi C is the closest alternative to good coffee with milk."
killiney-kopitiam-singapore-11,cb-E5IvWjrWEo-Qm2zxhwg,"{'link': '/user_details?userid=cb-E5IvWjrWEo-Qm2zxhwg', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/ayj_Kts-WpNeTlis8kjjiQ/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/ayj_Kts-WpNeTlis8kjjiQ/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/ayj_Kts-WpNeTlis8kjjiQ/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/ayj_Kts-WpNeTlis8kjjiQ/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/ayj_Kts-WpNeTlis8kjjiQ/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/ayj_Kts-WpNeTlis8kjjiQ/180s.jpg 3.00x', 'markupDisplayName': 'Rob K.', 'displayLocation': 'Las Vegas, NV', 'altText': 'Rob K.', 'userUrl': '/user_details?userid=cb-E5IvWjrWEo-Qm2zxhwg', 'partnerAlias': None, 'friendCount': 8, 'photoCount': 70, 'reviewCount': 16, 'eliteYear': None}",4,9/18/2016,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/LIZpVHjLNTi9pyBbkBOJYg/300s.jpg', 'link': '/biz_photos/killiney-kopitiam-singapore-11?reviewid=gA8vJei83UZdfXiunVTTog&amp;select=LIZpVHjLNTi9pyBbkBOJYg', 'altText': 'Photo of Killiney Kopitiam - Singapore, Singapore. Coffee, hot and cold', 'width': 300, 'height': 300, 'caption': 'Coffee, hot and cold'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/JMDUy2Tejp5qXVkywombxg/300s.jpg', 'link': '/biz_photos/killiney-kopitiam-singapore-11?reviewid=gA8vJei83UZdfXiunVTTog&amp;select=JMDUy2Tejp5qXVkywombxg', 'altText': 'Photo of Killiney Kopitiam - Singapore, Singapore. Laksa', 'width': 300, 'height': 300, 'caption': 'Laksa'}]",Rob K.,en,"This is a great locals place. Great for breakfast and lunch. We are just here for breakfast but menu items can be for lunch too. The coffee, local Singapore style is great here. Very rich and creamy with the condense milk. Very much like Vietnamese coffee. Iced or hot is good. The laksa is only 4.50 and well worth it. Must come back and try other dishes."
killiney-kopitiam-singapore-11,UK2DsID5q3MCqYX23S6xXw,"{'link': '/user_details?userid=UK2DsID5q3MCqYX23S6xXw', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/OtqEiTj3CSZBAAfTD6K2Jw/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/OtqEiTj3CSZBAAfTD6K2Jw/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/OtqEiTj3CSZBAAfTD6K2Jw/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/OtqEiTj3CSZBAAfTD6K2Jw/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/OtqEiTj3CSZBAAfTD6K2Jw/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/OtqEiTj3CSZBAAfTD6K2Jw/180s.jpg 3.00x', 'markupDisplayName': 'Patricia M.', 'displayLocation': 'Phoenix, AZ', 'altText': 'Patricia M.', 'userUrl': '/user_details?userid=UK2DsID5q3MCqYX23S6xXw', 'partnerAlias': None, 'friendCount': 645, 'photoCount': 322, 'reviewCount': 195, 'eliteYear': None}",4,3/20/2015,[],Patricia M.,en,"I have to admit we didn&amp;#39;t really know what we were eating. But a very friendly Singapore couple helped us eat it and then gave us good tips on the rest of our travel. We had the typical Singapore coffee, which has condensed milk in it. Too sweet for me, but the partner loved it."
starbucks-singapore-129,Q1oMmm7tKPOzA7_gqcV4zg,"{'link': '/user_details?userid=Q1oMmm7tKPOzA7_gqcV4zg', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/180s.jpg 3.00x', 'markupDisplayName': 'Carolyn L.', 'displayLocation': 'Vancouver, Canada', 'altText': 'Carolyn L.', 'userUrl': '/user_details?userid=Q1oMmm7tKPOzA7_gqcV4zg', 'partnerAlias': None, 'friendCount': 171, 'photoCount': 23135, 'reviewCount': 1782, 'eliteYear': 2022}",4,8/13/2014,[],Carolyn L.,en,"I have heard this is the first Starbucks outlet in Singapore which opened in December 1996. With so many Starbucks around, I soon associated this Starbucks as the one who was flooded during the great big flood (or &amp;#34;ponding&amp;#34; which one Singapore Minister described it as) in Orchard Road a few years ago. The outdoor chairs and tables were floating around and luckily everybody got out of harm&amp;#39;s way. Since then barriers have been installed and will be raised if there is a heavy downpour. So customers can sip away with no fear. I guess renovation also took place and the place now has many types of seating available. <br&gt;<br&gt;It has been some time since I last stepped foot into this Starbucks. The layout is still the same. The coffee (caramel macchiato) is still good. There is something to be said about drinking coffee from a proper mug and not from a paper cup. It somehow tastes better. <br&gt;<br&gt;There are outdoor seating which is great to people watch or to enjoy warm breeze. Shades are available outdoor too. You can also people watch indoor as there is a long bar counter by the window. Also a good option if you want to be alone and do some work or read. <br&gt;<br&gt;There is a sofa set with stools for bigger group and a table with two cushioned chairs. They are comfortable but they are also right underneath the spotlights. So you may feel the heat after a while. <br&gt;<br&gt;Against one wall is a row of cushioned long bench. It looks very comfortable until you realize there is no proper back rest and the table is too low. I am short but I did not realize how short until I found out my feet did not touch the floor when I sat there. I am beginning to feel like Goldilocks trying to find a reasonably comfortable chair. This is also when I really noticed the different types of chairs and seating available in this outlet. <br&gt;<br&gt;In the middle are round cocktail style tables with high chairs for two and a long table with cold metal chairs to encourage communal sharing or very big groups.<br&gt;<br&gt;So there you have it. You can either have comfortable chairs but be heated up or try to get comfortable in metal chairs or high chairs or very low back cushioned seats."
starbucks-singapore-129,41MtZiv6L0dB4S9NdnO6_g,"{'link': '/user_details?userid=41MtZiv6L0dB4S9NdnO6_g', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/P1GzyYMc-HESNoMw40esKg/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/P1GzyYMc-HESNoMw40esKg/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/P1GzyYMc-HESNoMw40esKg/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/P1GzyYMc-HESNoMw40esKg/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/P1GzyYMc-HESNoMw40esKg/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/P1GzyYMc-HESNoMw40esKg/180s.jpg 3.00x', 'markupDisplayName': 'Alexander L.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Alexander L.', 'userUrl': '/user_details?userid=41MtZiv6L0dB4S9NdnO6_g', 'partnerAlias': None, 'friendCount': 452, 'photoCount': 4, 'reviewCount': 109, 'eliteYear': None}",3,8/22/2013,[],Alexander L.,en,"Hey do you like university students? If not, welcome to your nightmare. There are a handful of 24 hour Starbucks in Singapore and, this being one of them, it is pretty much completely full of students all the time. Even during the day. Seriously I&amp;#39;m sitting here at 5.30pm on a Thursday and it&amp;#39;s still full of students cramming. <br&gt;<br&gt;I mean it&amp;#39;s an ok Starbucks. They have their own non-password-protected wifi which works well, there&amp;#39;s a decent amount of seating (though it still gets full inside) and it&amp;#39;s well-located. The colour scheme is warm &amp;amp; inviting and the music is soothing. Service is as slow as any other Starbucks in Singapore (sorry guys I used to live in Hong Kong) and the coffee is just as terrible... but they have plenty of syrupy frappucinos.<br&gt;<br&gt;But honestly if you mark down Starbucks on the basis of coffee quality then you&amp;#39;re probably the sort of person who expects flowers from SingTel when your phone reception drops out. Get a grip on reality, people!<br&gt;<br&gt;But I digress. This place is open 24 hours, which is awesome. It&amp;#39;s also full of cramming students occupying like all the space, which is not awesome. You be the judge."
starbucks-singapore-129,37veRneM-BBpXzSNw-jCGw,"{'link': '/user_details?userid=37veRneM-BBpXzSNw-jCGw', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/65kZi1rDm-SZPlVUo2W9iQ/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/65kZi1rDm-SZPlVUo2W9iQ/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/65kZi1rDm-SZPlVUo2W9iQ/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/65kZi1rDm-SZPlVUo2W9iQ/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/65kZi1rDm-SZPlVUo2W9iQ/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/65kZi1rDm-SZPlVUo2W9iQ/180s.jpg 3.00x', 'markupDisplayName': 'Jeremy H.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Jeremy H.', 'userUrl': '/user_details?userid=37veRneM-BBpXzSNw-jCGw', 'partnerAlias': None, 'friendCount': 5, 'photoCount': 102, 'reviewCount': 90, 'eliteYear': None}",4,8/19/2012,[],Jeremy H.,en,"The Starbucks at Liat Towers is one of my favorites. My bus usually drops me at the bus stop across the road at the Thai Embassy and my first instinct would be to cross the road and grab an iced beverage from Starbucks before continuing on to Orchard Road. It&amp;#39;s easy to like this outlet. It&amp;#39;s not too far from the action of Orchard Road yet it&amp;#39;s tucked in a quiet corner. Students especially love sitting here for hours with Burger King next door, it&amp;#39;s easy to grab a bite. <br&gt;<br&gt;I used to sit here and watch people sometimes while waiting for friends to shop or if I was working on my computer. Maybe grab a snack from Marks and Spencer. It&amp;#39;s also a great location to sit with friends for idle chatter."
starbucks-singapore-129,Xij-B5G19fXDZ9uYGPZAqg,"{'link': '/user_details?userid=Xij-B5G19fXDZ9uYGPZAqg', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/ezdhJFnS761g986kv0N44w/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/ezdhJFnS761g986kv0N44w/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/ezdhJFnS761g986kv0N44w/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/ezdhJFnS761g986kv0N44w/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/ezdhJFnS761g986kv0N44w/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/ezdhJFnS761g986kv0N44w/180s.jpg 3.00x', 'markupDisplayName': 'Pearly C.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Pearly C.', 'userUrl': '/user_details?userid=Xij-B5G19fXDZ9uYGPZAqg', 'partnerAlias': None, 'friendCount': 125, 'photoCount': 357, 'reviewCount': 145, 'eliteYear': None}",4,11/28/2013,[],Pearly C.,en,"Because it&amp;#39;s thanksgiving i decided to get myself a slice of the cranberry orange slice. as good as it looks, the cake is yummy. plenty of dried cranberry chunks and cream cheese covered the top of the cake. the cake itself was moist, not too sweet and had a good amount of cranberry mixed in. It goes perfectly with a cuppa hot drink. i will return for this again especially during this festive season."
starbucks-singapore-129,Cd8OdDB6wJxurtAgU-IgHA,"{'link': '/user_details?userid=Cd8OdDB6wJxurtAgU-IgHA', 'src': 'https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png', 'srcSet': None, 'markupDisplayName': 'K R.', 'displayLocation': 'New York, NY', 'altText': 'K R.', 'userUrl': '/user_details?userid=Cd8OdDB6wJxurtAgU-IgHA', 'partnerAlias': None, 'friendCount': 258, 'photoCount': 191, 'reviewCount': 236, 'eliteYear': None}",4,8/12/2012,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/J6ePj8BFKiqGhal4sVrejw/300s.jpg', 'link': '/biz_photos/starbucks-singapore-129?reviewid=Nu6pAD7AtWEQwzRrfEImXw&amp;select=J6ePj8BFKiqGhal4sVrejw', 'altText': 'Photo of Starbucks - Singapore, Singapore', 'width': 300, 'height': 300, 'caption': ''}]",K R.,en,"This is probably one of my favorite Starbucks in Singapore. Been going to this one since I was a teenager, when Borders used to be next door. It used to be a good place to buy a book from Borders and settle down to read in the outdoor part of the cafe. <br&gt;<br&gt;I always stay outdoors because the indoor seating is always freezing. It can tend to get pretty crowded on the weekends and sometimes hard to get a seat. But its definitely a good place to chill and have a cup of coffee and pastry."
