shop,userid,userinfo,rating,date,photos,username,language,text
3838-eating-place-singapore,Ms9qgxOyQ8ul_WVJk4_Z3Q,"{'link': '/user_details?userid=Ms9qgxOyQ8ul_WVJk4_Z3Q', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/e5iF6C3s3HWebdqIi2EWGw/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/e5iF6C3s3HWebdqIi2EWGw/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/e5iF6C3s3HWebdqIi2EWGw/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/e5iF6C3s3HWebdqIi2EWGw/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/e5iF6C3s3HWebdqIi2EWGw/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/e5iF6C3s3HWebdqIi2EWGw/180s.jpg 3.00x', 'markupDisplayName': 'Ivy C.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Ivy C.', 'userUrl': '/user_details?userid=Ms9qgxOyQ8ul_WVJk4_Z3Q', 'partnerAlias': None, 'friendCount': 34, 'photoCount': 61, 'reviewCount': 50, 'eliteYear': None}",5,4/28/2016,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/NjK4Q66My3eignXw4o3Rkg/180s.jpg', 'link': '/biz_photos/3838-eating-place-singapore?reviewid=usjACCxvE0JvoLjsXZUS9g&amp;select=NjK4Q66My3eignXw4o3Rkg', 'altText': 'Photo of 3838 Eating Place - Singapore, Singapore. Signature tofu', 'width': 180, 'height': 180, 'caption': 'Signature tofu'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/526RwYjz9itVaFCqHYo6yg/180s.jpg', 'link': '/biz_photos/3838-eating-place-singapore?reviewid=usjACCxvE0JvoLjsXZUS9g&amp;select=526RwYjz9itVaFCqHYo6yg', 'altText': 'Photo of 3838 Eating Place - Singapore, Singapore. Signature Mongolian pork rib', 'width': 180, 'height': 180, 'caption': 'Signature Mongolian pork rib'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/OufcDGtciY0uQUE33znK2A/180s.jpg', 'link': '/biz_photos/3838-eating-place-singapore?reviewid=usjACCxvE0JvoLjsXZUS9g&amp;select=OufcDGtciY0uQUE33znK2A', 'altText': 'Photo of 3838 Eating Place - Singapore, Singapore', 'width': 180, 'height': 180, 'caption': None}]",Ivy C.,en,"I have been to this place a couple of times and they have never disappoint me with one of the best zhi char dishes. <br&gt;<br&gt;Their specialty is the Mongolian pork rib which is heavenly. The ribs are not cut into small cubes and there are still huge chunks of meat stuck to it. Perhaps it&amp;#39;s not favourable for dainty ladies that will be paiseh to hold up the bones and rip the meat off; I have no qualms for that =D  The ribs has a very unique taste; creamy, peppery and there&amp;#39;s a hint of mint. The sauce is very appetising and I can finish my whole of rice just with the sauce alone. The rib if always cooked till tender but not too soft till it just falls off the bone. <br&gt;<br&gt;Another house special will be the signature tofu. If I guess it correctly, it&amp;#39;s normal tofu smashed with other condiments like onions+ carrot + minced meat, then being re-shaped into a cube and deep fried. Sounds like a perfectly simple dish yet tastes awesome. They are served with some fresh cabbage and mayo on the side. <br&gt;<br&gt;The rib and tofu is my &amp;#34;must-order&amp;#34; dishes. Other common zhi char dishes are very good too; sambal kangkong, fu rong egg, pai gu wang. <br&gt;<br&gt;The next time you are around Bugis but looking for a non-shopping-mall-food-chain-place, you should definitely try 3838. Highly recommended!"
wang-café-singapore-12,TmzkkbAL6NQjldq83D4p3w,"{'link': '/user_details?userid=TmzkkbAL6NQjldq83D4p3w', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/1N6p2oULtMJUeCjbqjP8bA/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/1N6p2oULtMJUeCjbqjP8bA/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/1N6p2oULtMJUeCjbqjP8bA/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/1N6p2oULtMJUeCjbqjP8bA/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/1N6p2oULtMJUeCjbqjP8bA/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/1N6p2oULtMJUeCjbqjP8bA/180s.jpg 3.00x', 'markupDisplayName': 'Rebecca Y.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Rebecca Y.', 'userUrl': '/user_details?userid=TmzkkbAL6NQjldq83D4p3w', 'partnerAlias': None, 'friendCount': 4, 'photoCount': 8, 'reviewCount': 10, 'eliteYear': None}",3,3/25/2016,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/r98v_uBgnv2QXdfgL8hmhQ/300s.jpg', 'link': '/biz_photos/wang-caf%C3%A9-singapore-12?reviewid=fLnsDsbKb2s-OjSyMO4JQg&amp;select=r98v_uBgnv2QXdfgL8hmhQ', 'altText': 'Photo of Wang Café - Singapore, Singapore', 'width': 300, 'height': 300, 'caption': None}]",Rebecca Y.,en,"Decent place if you want an inexpensive cup of coffee with some quick (albeit oily) food to go. The food variety isn&amp;#39;t that different from the myriad Yakun Kaya/ Toastbox establishments that are littered around the island so don&amp;#39;t get your hopes up if you&amp;#39;re really into quality food. <br&gt;<br&gt;Situated right at the main entrance of Bukit Panjang Plaza, so it&amp;#39;s pretty impossible to miss."
starbucks-pacific-plaza-singapore,Q1oMmm7tKPOzA7_gqcV4zg,"{'link': '/user_details?userid=Q1oMmm7tKPOzA7_gqcV4zg', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/180s.jpg 3.00x', 'markupDisplayName': 'Carolyn L.', 'displayLocation': 'Vancouver, Canada', 'altText': 'Carolyn L.', 'userUrl': '/user_details?userid=Q1oMmm7tKPOzA7_gqcV4zg', 'partnerAlias': None, 'friendCount': 171, 'photoCount': 23135, 'reviewCount': 1782, 'eliteYear': 2022}",1,4/2/2013,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/IHjfGhAsEdVKnL89FZrNqQ/300s.jpg', 'link': '/biz_photos/starbucks-pacific-plaza-singapore?reviewid=c38YyF7pQxUY6UQvonYwZQ&amp;select=IHjfGhAsEdVKnL89FZrNqQ', 'altText': 'Photo of Starbucks Pacific Plaza - Singapore, Singapore', 'width': 300, 'height': 300, 'caption': None}]",Carolyn L.,en,"1 star solely for the dining in experience, unless you like to share your food with the birds. <br&gt;<br&gt;Location wise, the Starbucks outside Pacific Plaza is pretty good for a grab and go. It used (or maybe still is) to be a nice place to chill with friends or a book. But recently the presence of birds (mynahs, pigeons and crows) have really marred the experience. <br&gt;<br&gt;When the place is not crowded, you would notice several tables being taken over by the birds. They are there waiting....for the food scraps left by diners. This is a very good reason for Singapore to instill a culture of clearing your own plates. There are dried droppings on the tables and chairs. I&amp;#39;m sure the Starbucks staff do go around cleaning the place, but when you have at least 5 birds fluttering around, you are no match for them. <br&gt;<br&gt;To combat the birds problem, Starbucks has installed a sound system and played sounds of birds (probably their predators) every other minute, but the birds seemed immune to the sounds now. Shoo-ing them does not work either. I saw a guy waved something at the bird walking on his table and it took a long while before it flew to the next table. <br&gt;<br&gt;The staff also tried to shoo the birds away but they would just hopped or flew over a couple of feet away. All the while, just waiting. <br&gt;<br&gt;My experience? There I was, minding my own business, when suddenly a pigeon landed on my table (it was shooed from another table). Sad to say I froze...then hopped up and grabbed my bag. The pigeon calmly settled down on the table and started pecking at my sandwich. The shoo-ing motion of the staff did not perturb the pigeon at all. In the end, the staff actually carried the bird off the table to outside the premise, and there it sat on the sidewalk. Still waiting. I thought it was injured, but it was not as it flew off to yet another table after a while. <br&gt;<br&gt;To the Starbucks&amp;#39; staff&amp;#39;s credit, they replaced my sandwich and coffee (which I requested for to go) of their own accord. I think it must have been quite a common occurrence by now. I am not sure if the situation would be better when the place is packed. <br&gt;<br&gt;NOTE:<br&gt;So I would really recommend to just do a &amp;#34;grab and go&amp;#34; for your caffeine fix. <br&gt;Food and drinks wise, it is of Starbucks&amp;#39; standards. No complaints. Likewise for the service."
hattendo-cafe-singapore,2F38Uc4UNNbFVdyUUnBjOA,"{'link': '/user_details?userid=2F38Uc4UNNbFVdyUUnBjOA', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/nkcfSrM1m8BT40IKPO3Gvw/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/nkcfSrM1m8BT40IKPO3Gvw/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/nkcfSrM1m8BT40IKPO3Gvw/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/nkcfSrM1m8BT40IKPO3Gvw/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/nkcfSrM1m8BT40IKPO3Gvw/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/nkcfSrM1m8BT40IKPO3Gvw/180s.jpg 3.00x', 'markupDisplayName': 'Doreen T.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Doreen T.', 'userUrl': '/user_details?userid=2F38Uc4UNNbFVdyUUnBjOA', 'partnerAlias': None, 'friendCount': 91, 'photoCount': 6338, 'reviewCount': 688, 'eliteYear': 2022}",3,9/25/2017,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/g1BN7UL2JNbuwzDgHLo8mg/300s.jpg', 'link': '/biz_photos/hattendo-cafe-singapore?reviewid=d2xS4Dcc5NWvDrZQU5s_zQ&amp;select=g1BN7UL2JNbuwzDgHLo8mg', 'altText': 'Photo of Hattendo Cafe - Singapore, Singapore', 'width': 300, 'height': 300, 'caption': None}]",Doreen T.,en,"Surprisely for a Sunday afternoon, the place was pretty crowded. The female manning the cashier was working half heartedly. One could see that she had already to leave as her friends were waiting for her to knock off from work. She kept interrupting the staff in the kitchen, whom one could see having problems keeping an eye on the stove through the open kitchen. One could not help but notice that he had thrown what was on the pan to the bin. For an order of french toast, I had waited almost 30 minutes for it.<br&gt;<br&gt;French Toast($9.00)<br&gt;Selected custard bun for the dish, which was pan fried with slightly top and bottom. It was served with pieces of fruit such as lemon, kiwi, blue berries, orange and strawberries, and a scoop of vanilla ice cream by the side. The caramelised crust of the bun gave a different feel to the bun.<br&gt;<br&gt;Topup $2.50 for a cup of hot tea to go with it."
gloria-jeans-coffees-singapore-5,wQ4iE0PQZy1FF1znVR40Yg,"{'link': '/user_details?userid=wQ4iE0PQZy1FF1znVR40Yg', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/VHg_I7rCgCTHuEVgZqh95w/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/VHg_I7rCgCTHuEVgZqh95w/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/VHg_I7rCgCTHuEVgZqh95w/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/VHg_I7rCgCTHuEVgZqh95w/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/VHg_I7rCgCTHuEVgZqh95w/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/VHg_I7rCgCTHuEVgZqh95w/180s.jpg 3.00x', 'markupDisplayName': 'Tian D.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Tian D.', 'userUrl': '/user_details?userid=wQ4iE0PQZy1FF1znVR40Yg', 'partnerAlias': None, 'friendCount': 3, 'photoCount': 177, 'reviewCount': 95, 'eliteYear': None}",3,7/30/2012,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/0R3bCc6fkbeOYO_3qukM1Q/300s.jpg', 'link': '/biz_photos/gloria-jeans-coffees-singapore-5?reviewid=6TJ9fmWg5Z6x-K7daGrLtw&amp;select=0R3bCc6fkbeOYO_3qukM1Q', 'altText': ""Photo of Gloria Jean's Coffees - Singapore, Singapore"", 'width': 300, 'height': 300, 'caption': None}]",Tian D.,en,"Being a freelancer, I often head to cafes to get work done over a quiet tea or coffee. I avoid noisy, crowded places at all costs, and Gloria Jean&amp;#39;s at PS is a great place for me to work on weekdays. <br&gt;<br&gt;Suspended on between the levels on the 5th floor, you&amp;#39;re in an open space with natural light from the skylight above. I really like the openness, and I find it very conducive for productive work.<br&gt;<br&gt;It&amp;#39;s not very quiet as PS always seems to have a hustle and bustle about it at all times, but it&amp;#39;s a cosy spot with lots of comfy chairs and cushions for or to lounge in. <br&gt;<br&gt;They play soothing instrumental jazz music, and there are also many power points available for me to plug my laptop into for charging. Service here is fast and efficient, but the coffee from this chain is fairly mediocre."
killiney-kopitiam-singapore-5,4y4obgWxi_CL25nRHrhuEA,"{'link': '/user_details?userid=4y4obgWxi_CL25nRHrhuEA', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/laRmHWBo3Kx_2nhLNthgUQ/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/laRmHWBo3Kx_2nhLNthgUQ/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/laRmHWBo3Kx_2nhLNthgUQ/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/laRmHWBo3Kx_2nhLNthgUQ/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/laRmHWBo3Kx_2nhLNthgUQ/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/laRmHWBo3Kx_2nhLNthgUQ/180s.jpg 3.00x', 'markupDisplayName': 'Ancy N.', 'displayLocation': 'Singapore, Singapore', 'altText': 'Ancy N.', 'userUrl': '/user_details?userid=4y4obgWxi_CL25nRHrhuEA', 'partnerAlias': None, 'friendCount': 72, 'photoCount': 1986, 'reviewCount': 592, 'eliteYear': None}",3,5/17/2013,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/Mvlk9xy9OJs6Gao9q0NS5Q/300s.jpg', 'link': '/biz_photos/killiney-kopitiam-singapore-5?reviewid=CDK6vEp7ThXAAeECnfEkaQ&amp;select=Mvlk9xy9OJs6Gao9q0NS5Q', 'altText': 'Photo of Killiney Kopitiam - Singapore, Singapore. Penang prawn noodles soup', 'width': 300, 'height': 300, 'caption': 'Penang prawn noodles soup'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/Dt2QEUVNmcTU2xwpSMnJDQ/300s.jpg', 'link': '/biz_photos/killiney-kopitiam-singapore-5?reviewid=CDK6vEp7ThXAAeECnfEkaQ&amp;select=Dt2QEUVNmcTU2xwpSMnJDQ', 'altText': 'Photo of Killiney Kopitiam - Singapore, Singapore. Penang fried kway tiao', 'width': 300, 'height': 300, 'caption': 'Penang fried kway tiao'}]",Ancy N.,en,They have more than coffee and kaya toast.<br&gt;<br&gt;The two Penang dishes we tried are not especially memorable. Decent I guess.
killiney-kopitiam-singapore-5,O5c8SgONRdgDdej4A9W1KQ,"{'link': '/user_details?userid=O5c8SgONRdgDdej4A9W1KQ', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/K9Qe5dCnj8Q9GHkeX41COg/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/K9Qe5dCnj8Q9GHkeX41COg/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/K9Qe5dCnj8Q9GHkeX41COg/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/K9Qe5dCnj8Q9GHkeX41COg/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/K9Qe5dCnj8Q9GHkeX41COg/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/K9Qe5dCnj8Q9GHkeX41COg/180s.jpg 3.00x', 'markupDisplayName': 'Lesley G.', 'displayLocation': 'Antwerp, Belgium', 'altText': 'Lesley G.', 'userUrl': '/user_details?userid=O5c8SgONRdgDdej4A9W1KQ', 'partnerAlias': None, 'friendCount': 37, 'photoCount': 214, 'reviewCount': 119, 'eliteYear': None}",2,1/18/2017,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/KtAA9yrjROrRmkW4zhJ2zg/300s.jpg', 'link': '/biz_photos/killiney-kopitiam-singapore-5?reviewid=i3LVX2t1LmXKPuoVYSXauQ&amp;select=KtAA9yrjROrRmkW4zhJ2zg', 'altText': 'Photo of Killiney Kopitiam - Singapore, Singapore', 'width': 300, 'height': 300, 'caption': None}]",Lesley G.,en,"Went with Some colleagues to this place. Inside was no room left, so we sat outside which is nice and hot. <br&gt;We ordered the dish of the day and some other things. After already a few minutes the first dish came. But than it took at least 10minutes for the next few dishes. But still after a long waiting time, 2 of our dishes were not there yet. After having asked for, they told us the dish was not available anymore, so we choose something else and again needed to wait. So very bad service. <br&gt;The food was good, not great and my dish was a bit lacking variety. <br&gt;Not to be repeated for me, but if you want a large size dish which is cheap, than this is the place for the local cuisine."
little-farms-cafe-singapore,Z88N6qly3Dp5C06XbZ9IMQ,"{'link': '/user_details?userid=Z88N6qly3Dp5C06XbZ9IMQ', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/_jw9PorZnSNu4oLstwXxQA/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/_jw9PorZnSNu4oLstwXxQA/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/_jw9PorZnSNu4oLstwXxQA/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/_jw9PorZnSNu4oLstwXxQA/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/_jw9PorZnSNu4oLstwXxQA/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/_jw9PorZnSNu4oLstwXxQA/180s.jpg 3.00x', 'markupDisplayName': 'Janice C.', 'displayLocation': 'San Jose, CA', 'altText': 'Janice C.', 'userUrl': '/user_details?userid=Z88N6qly3Dp5C06XbZ9IMQ', 'partnerAlias': None, 'friendCount': 590, 'photoCount': 7140, 'reviewCount': 2393, 'eliteYear': None}",4,2/3/2020,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/idZ7CzGwkyHQ9SPclGeaXw/300s.jpg', 'link': '/biz_photos/little-farms-cafe-singapore?reviewid=jSY7Djb8K7Pa1lNb0jyR7g&amp;select=idZ7CzGwkyHQ9SPclGeaXw', 'altText': 'Photo of Little Farms Cafe - Singapore, Singapore. Delicious veggie stack with balsamic vinegar glaze (S$24)', 'width': 300, 'height': 300, 'caption': 'Delicious veggie stack with balsamic vinegar glaze (S$24)'}, {'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/tRF0aIOeaKLrmPsAfhz_Vg/300s.jpg', 'link': '/biz_photos/little-farms-cafe-singapore?reviewid=jSY7Djb8K7Pa1lNb0jyR7g&amp;select=tRF0aIOeaKLrmPsAfhz_Vg', 'altText': 'Photo of Little Farms Cafe - Singapore, Singapore. Sea salt chocolate cookie (S$4)  -- very dry!', 'width': 300, 'height': 300, 'caption': 'Sea salt chocolate cookie (S$4)  -- very dry!'}]",Janice C.,en,"Need a detox from all that hawker center food?<br&gt;<br&gt;Little Farms has got you covered. Ingredients are wholesome, nutritious and as much as possible, organic. Brunch is served until 3pm, but lunch goes on until 5pm. I love the colorful salads (from S$18 and up) here on display right in front of you, just pick and choose. <br&gt;<br&gt;You&amp;#39;d have to pick a seat, grab the number at your table and then place your order at the counter. I got the vegetable stack (S$24) which had beautifully roasted squash, tomatoes, eggplant, cauliflower, zucchini, olives and topped with a simple EVOO and balsamic glaze plus sprinkling of sea salt. You can really taste the freshness and high quality ingredients they use here. Cookies are not their strong point as the sea salt chocolate cookie I had was dry and hard :( <br&gt;<br&gt;I&amp;#39;m not sure if there&amp;#39;s a scarcity of brunch places in the River Valley area, but Little Farms was PACKED even on an off hour of 2pm on a weekday. Also seems to be a favorite among expats and their kids. All I gotta say is, I&amp;#39;m going to be back since HOM Yoga is right next door."
little-farms-cafe-singapore,HKC-j6ShF_wUfB0q1BH5cw,"{'link': '/user_details?userid=HKC-j6ShF_wUfB0q1BH5cw', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/QZ1LMObMket6as_ZHeTT8g/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/QZ1LMObMket6as_ZHeTT8g/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/QZ1LMObMket6as_ZHeTT8g/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/QZ1LMObMket6as_ZHeTT8g/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/QZ1LMObMket6as_ZHeTT8g/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/QZ1LMObMket6as_ZHeTT8g/180s.jpg 3.00x', 'markupDisplayName': 'Sebastian F.', 'displayLocation': 'San Francisco, CA', 'altText': 'Sebastian F.', 'userUrl': '/user_details?userid=HKC-j6ShF_wUfB0q1BH5cw', 'partnerAlias': None, 'friendCount': 507, 'photoCount': 1272, 'reviewCount': 1108, 'eliteYear': None}",3,3/6/2020,[],Sebastian F.,en,"Great quality (organic) food, clean interior decor, LOTS of tables, and busy at all times - what&amp;#39;s not to like?<br&gt;<br&gt;The prices. C&amp;#39;mon. Charging S$9 for a tiny glass of milk shake or S$25 for a small breakfast plate is outright ridiculous and robbery.<br&gt;<br&gt;Apparently I&amp;#39;m the only one thinking so as this place is, as I mentioned, packed at all times.<br&gt;<br&gt;Great food, don&amp;#39;t get me wrong, but ridic prices."
rice-and-fries-singapore,Qr-WoW6Vye4aH3I-YZ2ZyQ,"{'link': '/user_details?userid=Qr-WoW6Vye4aH3I-YZ2ZyQ', 'src': 'https://s3-media0.fl.yelpcdn.com/photo/nOwOO0eaohEXAYNTxlZZ9A/60s.jpg', 'srcSet': 'https://s3-media0.fl.yelpcdn.com/photo/nOwOO0eaohEXAYNTxlZZ9A/ms.jpg 1.67x,https://s3-media0.fl.yelpcdn.com/photo/nOwOO0eaohEXAYNTxlZZ9A/120s.jpg 2.00x,https://s3-media0.fl.yelpcdn.com/photo/nOwOO0eaohEXAYNTxlZZ9A/90s.jpg 1.50x,https://s3-media0.fl.yelpcdn.com/photo/nOwOO0eaohEXAYNTxlZZ9A/168s.jpg 2.80x,https://s3-media0.fl.yelpcdn.com/photo/nOwOO0eaohEXAYNTxlZZ9A/180s.jpg 3.00x', 'markupDisplayName': 'Steffenie S.', 'displayLocation': 'Bukit Timah, Singapore, Singapore', 'altText': 'Steffenie S.', 'userUrl': '/user_details?userid=Qr-WoW6Vye4aH3I-YZ2ZyQ', 'partnerAlias': None, 'friendCount': 341, 'photoCount': 1742, 'reviewCount': 357, 'eliteYear': None}",4,1/18/2015,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/PSknIep3z5mXpuhP4dRrGQ/300s.jpg', 'link': '/biz_photos/rice-and-fries-singapore?reviewid=sV4CMFQdhja5lT3sMV3iXA&amp;select=PSknIep3z5mXpuhP4dRrGQ', 'altText': 'Photo of Rice &amp; Fries - Singapore, Singapore. 4 types of fries :)', 'width': 300, 'height': 300, 'caption': '4 types of fries :)'}]",Steffenie S.,en,This is my 4th stop of the day on 17th Jan 2015.<br&gt;<br&gt;Was introduced to this place by Melissa Y. It is not too far from the Kembangan MRT and you could probably see the signboard from afar.<br&gt;<br&gt;Came here as Mel had purchased 2 Sugar coupons for the waffles and we decided to try the waffles with Hokkaido Milk &amp;amp; Honey and Figs . We also ordered the B.F.F. 4 types of fries and four types of sauces. <br&gt;<br&gt;The waffle was over-crispy but the ice creams were delicious. It was melting on the tongue after putting it in your mouth. Didn&amp;#39;t really like the waffle that much as this time round it was over-cooked.<br&gt;<br&gt;The B.F.F. was interesting mix of fries. I like the truffle fries as it was crunchy but it doesn&amp;#39;t have much truffle flavor on it. The wedges and the criss-cut fries were al-right (probably cause I&amp;#39;ve been eating too much other stuffs before coming here). I didn&amp;#39;t try the shoestring fries (Curly fries?). The dips I have no clue what they are besides the tartar sauce.<br&gt;<br&gt;This place is rather cosy and inviting. On the walls it has writings and interesting quotes. Was not as crowded as I thought it maybe especially on a Saturday evening. Definitely a good place to hang out or even board game sessions :)
