,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-5YMIME_WEin_by41Bj-3Q,sandwiches:1,juicebars:1,price_2:0,sandwiches:1,sandwiches:1,price_4:1,juicebars:1,juicebars:1,Southwest:1,price_4:1,price_4:1,price_4:1,price_4:1,price_4:1,price_1:1,Northeast:0,juicebars:1,price_1:1,sandwiches:1,price_2:0
-G1YjYxjDpxOBzFgo36ORA,price_3:1,bars:1,bars:1,bars:1,bars:1,price_3:1,price_3:1,desserts:1,desserts:1,desserts:1,price_3:1,price_3:1,Central:1,cafes:1,price_3:1,cafes:1,bars:1,price_3:1,bars:1,Northwest:0
-WShM_YFbtG4OcE0vrFVyw,Southeast:1,Northwest:0,Central:0,Southeast:1,Southeast:1,price_2:1,Central:0,Central:0,cafes:1,Southeast:1,price_2:1,Central:0,desserts:0,cafes:1,Southeast:1,Central:0,Southeast:1,Central:0,Southeast:1,themedcafes:1
-XaIf12ricWc5z5BRt9nnQ,price_3:1,Southeast:1,coffeeroasteries:1,bars:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,Central:0,price_3:1,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,coffeeroasteries:1
-fUWq6sOIEe1uTUhNKS9sQ,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1
-pgoWr-O1psJ6LCFkGV6KQ,sandwiches:1,price_2:0,Southwest:0,Central:1,price_1:1,sandwiches:1,Southwest:0,Central:1,price_1:1,bakeries:0,Central:1,Central:1,price_1:1,Central:1,price_1:1,Southeast:0,price_1:1,breakfast_brunch:0,Central:1,sandwiches:1
-tuPUDZidQbt_rLPw693KQ,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,price_3:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,coffeeroasteries:1,coffeeroasteries:1
05tSDymzhXyvaxO1G24d0g,bars:1,Northwest:1,bars:1,Northwest:1,sandwiches:1,Northwest:1,bars:1,Northwest:1,bars:1,Central:0,bars:1,bars:1,Northwest:1,Northwest:1,bars:1,bars:1,bars:1,price_4:1,bars:1,Central:0
0DcUFh4oG2IlBGOj9KcjVQ,Southeast:1,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,bars:1,Southeast:1,bars:1,coffeeroasteries:1,coffeeroasteries:1
0NjHJNdJPdmc0WHV4VF7fA,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,Northwest:1,Northwest:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bars:1,bakeries:1,Northwest:1,bakeries:1,price_3:1,bars:1,bakeries:1
