,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-5YMIME_WEin_by41Bj-3Q,maxwell-food-centre-singapore-3,nylon-coffee-roasters-singapore,laurent-bernard-chocolatier-singapore,ps-cafe-singapore-8,the-book-cafe-singapore,the-lokal-singapore,tiong-bahru-bakery-singapore-4,common-man-coffee-roasters-singapore,strangers-reunion-singapore,curious-palette-singapore,paddy-hills-singapore,twg-tea-singapore-3,da-paolo-gastronomia-bukit-timah-bukit-timah,jones-the-grocer-singapore-3,percolate-singapore,ps-cafe-petit-singapore,the-fabulous-baker-boy-singapore,the-muffinry-bakery-and-cafe-singapore,the-bravery-cafe-singapore,sweetspot-singapore-2
-G1YjYxjDpxOBzFgo36ORA,the-book-cafe-singapore,common-man-coffee-roasters-singapore,maxwell-food-centre-singapore-3,tiong-bahru-bakery-singapore-4,level33-singapore-4,my-awesome-cafe-singapore,the-assembly-ground-singapore,boufe-boutique-cafe-singapore,curious-palette-singapore,laurent-bernard-chocolatier-singapore,ps-cafe-petit-singapore,privé-café-singapore,plain-vanilla-bakery-singapore-2,spize-singapore-2,ps-cafe-singapore-8,wellsmoocht-singapore-2,twg-tea-on-the-bay-singapore,sunday-folks-singapore,jimmy-monkey-cafe-and-bar-singapore,chinatown-complex-market-and-food-centre-singapore
-WShM_YFbtG4OcE0vrFVyw,tiong-bahru-bakery-singapore-4,maxwell-food-centre-singapore-3,nylon-coffee-roasters-singapore,level33-singapore-4,common-man-coffee-roasters-singapore,group-therapy-coffee-singapore,sarnies-singapore,strangers-reunion-singapore,the-book-cafe-singapore,carpenter-and-cook-singapore,ps-cafe-singapore-8,paul-singapore-3,fika-singapore,ps-cafe-petit-singapore,patisserie-g-singapore,tiong-bahru-bakery-singapore,two-blur-guys-singapore,d-good-cafe-singapore,penny-university-singapore,pacamara-boutique-coffee-roasters-singapore
-XaIf12ricWc5z5BRt9nnQ,the-book-cafe-singapore,level33-singapore-4,tiong-bahru-bakery-singapore-4,jimmy-monkey-cafe-and-bar-singapore,drury-lane-singapore,strangers-reunion-singapore,nylon-coffee-roasters-singapore,common-man-coffee-roasters-singapore,food-for-thought-singapore,sarnies-singapore,ps-cafe-singapore-8,maxwell-food-centre-singapore-3,penny-university-singapore,symmetry-singapore,two-blur-guys-singapore,group-therapy-coffee-singapore,paul-singapore-3,carpenter-and-cook-singapore,violet-oons-kitchen-singapore,d-good-cafe-singapore
-fUWq6sOIEe1uTUhNKS9sQ,tiong-bahru-bakery-singapore-4,the-assembly-ground-singapore,level33-singapore-4,common-man-coffee-roasters-singapore,my-awesome-cafe-singapore,spize-singapore-2,maxwell-food-centre-singapore-3,tiong-bahru-food-market-and-hawker-centre-singapore,carpenter-and-cook-singapore,ps-cafe-petit-singapore,nylon-coffee-roasters-singapore,group-therapy-coffee-singapore,brawn-and-brains-coffee-singapore,plain-vanilla-bakery-singapore-2,wellsmoocht-singapore-2,flor-patisserie-singapore,sweetspot-singapore-2,la-ristrettos-singapore,wheelers-yard-singapore,fika-singapore
-pgoWr-O1psJ6LCFkGV6KQ,maxwell-food-centre-singapore-3,laurent-bernard-chocolatier-singapore,tiong-bahru-bakery-singapore-4,common-man-coffee-roasters-singapore,chinatown-complex-market-and-food-centre-singapore,ps-cafe-singapore-8,nylon-coffee-roasters-singapore,sweetspot-singapore-2,foong-kee-coffee-shop-singapore,the-book-cafe-singapore,lau-pa-sat-singapore-2,coffee-and-toast-singapore,wheelers-yard-singapore,my-awesome-cafe-singapore,espressoul-singapore-2,the-lokal-singapore,the-muffinry-bakery-and-cafe-singapore,spize-singapore-2,privé-café-singapore,kith-cafe-singapore
-tuPUDZidQbt_rLPw693KQ,tiong-bahru-bakery-singapore-4,common-man-coffee-roasters-singapore,level33-singapore-4,maxwell-food-centre-singapore-3,nylon-coffee-roasters-singapore,carpenter-and-cook-singapore,penny-university-singapore,the-book-cafe-singapore,my-awesome-cafe-singapore,symmetry-singapore,oriole-coffee-bar-singapore-2,jimmy-monkey-cafe-and-bar-singapore,group-therapy-coffee-singapore,the-assembly-ground-singapore,two-blur-guys-singapore,strangers-reunion-singapore,paul-singapore-3,twg-tea-on-the-bay-singapore,ps-cafe-petit-singapore,spize-singapore-2
05tSDymzhXyvaxO1G24d0g,the-book-cafe-singapore,strangers-reunion-singapore,ps-cafe-singapore-8,wild-honey-singapore-3,maxwell-food-centre-singapore-3,nylon-coffee-roasters-singapore,food-for-thought-singapore,twg-tea-singapore-3,jimmy-monkey-cafe-and-bar-singapore,sarnies-singapore,paul-singapore-3,drury-lane-singapore,hoshino-coffee-singapore,d-good-cafe-singapore,tiong-bahru-bakery-singapore-4,violet-oons-kitchen-singapore,group-therapy-coffee-singapore,paddy-hills-singapore,kith-cafe-singapore,the-populus-coffee-and-food-co-singapore
0DcUFh4oG2IlBGOj9KcjVQ,level33-singapore-4,tiong-bahru-bakery-singapore-4,common-man-coffee-roasters-singapore,penny-university-singapore,carpenter-and-cook-singapore,maxwell-food-centre-singapore-3,two-blur-guys-singapore,my-awesome-cafe-singapore,nylon-coffee-roasters-singapore,symmetry-singapore,the-book-cafe-singapore,group-therapy-coffee-singapore,the-assembly-ground-singapore,jewel-coffee-singapore-8,sarnies-singapore,jimmy-monkey-cafe-and-bar-singapore,tolidos-espresso-nook-singapore-3,twg-tea-on-the-bay-singapore,spize-singapore-2,nassim-hill-bakery-bistro-bar-singapore
0NjHJNdJPdmc0WHV4VF7fA,nylon-coffee-roasters-singapore,tiong-bahru-bakery-singapore-4,group-therapy-coffee-singapore,strangers-reunion-singapore,d-good-cafe-singapore,hoshino-coffee-singapore,paul-singapore-3,chye-seng-huat-hardware-singapore,sarnies-singapore,tiong-bahru-bakery-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,maxwell-food-centre-singapore-3,ps-cafe-petit-singapore,jimmy-monkey-cafe-and-bar-singapore,the-fabulous-baker-boy-singapore,wild-honey-singapore-3,pacamara-boutique-coffee-roasters-singapore,ps-cafe-singapore-8,food-for-thought-singapore,fika-singapore
