,userid,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
0,-5YMIME_WEin_by41Bj-3Q,nylon-coffee-roasters-singapore,maxwell-food-centre-singapore-3,toms-palette-singapore,two-men-bagel-house-singapore,hainanese-village-centre-singapore
1,-G1YjYxjDpxOBzFgo36ORA,two-men-bagel-house-singapore,toms-palette-singapore,nylon-coffee-roasters-singapore,amoy-street-food-centre-singapore,maxwell-food-centre-singapore-3
2,-WShM_YFbtG4OcE0vrFVyw,maxwell-food-centre-singapore-3,nylon-coffee-roasters-singapore,tong-heng-singapore-3,toms-palette-singapore,old-airport-road-food-centre-singapore
3,-XaIf12ricWc5z5BRt9nnQ,nylon-coffee-roasters-singapore,toms-palette-singapore,maxwell-food-centre-singapore-3,two-men-bagel-house-singapore,geisha-specialty-coffee-singapore
4,-fUWq6sOIEe1uTUhNKS9sQ,toms-palette-singapore,maxwell-food-centre-singapore-3,nylon-coffee-roasters-singapore,two-men-bagel-house-singapore,ya-kun-kaya-toast-singapore-22
5,-pgoWr-O1psJ6LCFkGV6KQ,nylon-coffee-roasters-singapore,toms-palette-singapore,maxwell-food-centre-singapore-3,two-men-bagel-house-singapore,pickmeup-cafe-singapore
6,-tuPUDZidQbt_rLPw693KQ,nylon-coffee-roasters-singapore,toms-palette-singapore,maxwell-food-centre-singapore-3,maison-kayser-singapore,two-men-bagel-house-singapore
7,05tSDymzhXyvaxO1G24d0g,nylon-coffee-roasters-singapore,old-airport-road-food-centre-singapore,maxwell-food-centre-singapore-3,tiong-bahru-food-market-and-hawker-centre-singapore,old-tea-hut-singapore-2
8,0DcUFh4oG2IlBGOj9KcjVQ,nylon-coffee-roasters-singapore,privé-café-singapore,two-men-bagel-house-singapore,maxwell-food-centre-singapore-3,old-airport-road-food-centre-singapore
9,0NjHJNdJPdmc0WHV4VF7fA,nylon-coffee-roasters-singapore,two-men-bagel-house-singapore,tiong-bahru-food-market-and-hawker-centre-singapore,toms-palette-singapore,the-book-cafe-singapore
